timestamp,EMGID,mac_address,muscle,emg_value
2024-08-07 21:09:03.176,02,D4:8A:FC:C5:8B:B2,R_Biceps,0
2024-08-07 21:09:03.186,02,D4:8A:FC:C5:8B:B2,R_Biceps,0
2024-08-07 21:09:03.097,06,D4:8A:FC:C5:AB:32,R_Latiss,0
2024-08-07 21:09:03.107,06,D4:8A:FC:C5:AB:32,R_Latiss,0
2024-08-07 21:09:03.117,06,D4:8A:FC:C5:AB:32,R_Latiss,0
2024-08-07 21:09:03.127,06,D4:8A:FC:C5:AB:32,R_Latiss,0
2024-08-07 21:09:03.137,06,D4:8A:FC:C5:AB:32,R_Latiss,0
2024-08-07 21:09:03.147,06,D4:8A:FC:C5:AB:32,R_Latiss,0
2024-08-07 21:09:03.157,06,D4:8A:FC:C5:AB:32,R_Latiss,0
2024-08-07 21:09:03.167,06,D4:8A:FC:C5:AB:32,R_Latiss,0
2024-08-07 21:09:03.177,06,D4:8A:FC:C5:AB:32,R_Latiss,0
2024-08-07 21:09:03.187,06,D4:8A:FC:C5:AB:32,R_Latiss,0
2024-08-07 21:09:03.098,01,E4:65:B8:14:BA:9A,L_Biceps,28
2024-08-07 21:09:03.108,01,E4:65:B8:14:BA:9A,L_Biceps,16
2024-08-07 21:09:03.118,01,E4:65:B8:14:BA:9A,L_Biceps,9
2024-08-07 21:09:03.128,01,E4:65:B8:14:BA:9A,L_Biceps,0
2024-08-07 21:09:03.138,01,E4:65:B8:14:BA:9A,L_Biceps,0
2024-08-07 21:09:03.148,01,E4:65:B8:14:BA:9A,L_Biceps,0
2024-08-07 21:09:03.158,01,E4:65:B8:14:BA:9A,L_Biceps,0
2024-08-07 21:09:03.168,01,E4:65:B8:14:BA:9A,L_Biceps,0
2024-08-07 21:09:03.178,01,E4:65:B8:14:BA:9A,L_Biceps,47
2024-08-07 21:09:03.188,01,E4:65:B8:14:BA:9A,L_Biceps,37
2024-08-07 21:09:03.104,07,D4:8A:FC:C5:9E:12,L_Trapezius,0
2024-08-07 21:09:03.114,07,D4:8A:FC:C5:9E:12,L_Trapezius,0
2024-08-07 21:09:03.124,07,D4:8A:FC:C5:9E:12,L_Trapezius,0
2024-08-07 21:09:03.134,07,D4:8A:FC:C5:9E:12,L_Trapezius,7
2024-08-07 21:09:03.144,07,D4:8A:FC:C5:9E:12,L_Trapezius,59
2024-08-07 21:09:03.154,07,D4:8A:FC:C5:9E:12,L_Trapezius,64
2024-08-07 21:09:03.164,07,D4:8A:FC:C5:9E:12,L_Trapezius,54
2024-08-07 21:09:03.174,07,D4:8A:FC:C5:9E:12,L_Trapezius,68
2024-08-07 21:09:03.184,07,D4:8A:FC:C5:9E:12,L_Trapezius,0
2024-08-07 21:09:03.194,07,D4:8A:FC:C5:9E:12,L_Trapezius,0
2024-08-07 21:09:03.124,03,E4:65:B8:14:79:5E,L_Deltoid,64
2024-08-07 21:09:03.134,03,E4:65:B8:14:79:5E,L_Deltoid,48
2024-08-07 21:09:03.144,03,E4:65:B8:14:79:5E,L_Deltoid,34
2024-08-07 21:09:03.154,03,E4:65:B8:14:79:5E,L_Deltoid,53
2024-08-07 21:09:03.164,03,E4:65:B8:14:79:5E,L_Deltoid,62
2024-08-07 21:09:03.174,03,E4:65:B8:14:79:5E,L_Deltoid,51
2024-08-07 21:09:03.184,03,E4:65:B8:14:79:5E,L_Deltoid,34
2024-08-07 21:09:03.194,03,E4:65:B8:14:79:5E,L_Deltoid,35
2024-08-07 21:09:03.204,03,E4:65:B8:14:79:5E,L_Deltoid,65
2024-08-07 21:09:03.214,03,E4:65:B8:14:79:5E,L_Deltoid,70
2024-08-07 21:09:03.188,07,D4:8A:FC:C5:9E:12,L_Trapezius,37
2024-08-07 21:09:03.198,07,D4:8A:FC:C5:9E:12,L_Trapezius,39
2024-08-07 21:09:03.208,07,D4:8A:FC:C5:9E:12,L_Trapezius,77
2024-08-07 21:09:03.218,07,D4:8A:FC:C5:9E:12,L_Trapezius,68
2024-08-07 21:09:03.228,07,D4:8A:FC:C5:9E:12,L_Trapezius,53
2024-08-07 21:09:03.238,07,D4:8A:FC:C5:9E:12,L_Trapezius,79
2024-08-07 21:09:03.248,07,D4:8A:FC:C5:9E:12,L_Trapezius,98
2024-08-07 21:09:03.258,07,D4:8A:FC:C5:9E:12,L_Trapezius,68
2024-08-07 21:09:03.268,07,D4:8A:FC:C5:9E:12,L_Trapezius,74
2024-08-07 21:09:03.278,07,D4:8A:FC:C5:9E:12,L_Trapezius,56
2024-08-07 21:09:03.189,02,D4:8A:FC:C5:8B:B2,R_Biceps,0
2024-08-07 21:09:03.199,02,D4:8A:FC:C5:8B:B2,R_Biceps,0
2024-08-07 21:09:03.209,02,D4:8A:FC:C5:8B:B2,R_Biceps,0
2024-08-07 21:09:03.219,02,D4:8A:FC:C5:8B:B2,R_Biceps,0
2024-08-07 21:09:03.229,02,D4:8A:FC:C5:8B:B2,R_Biceps,0
2024-08-07 21:09:03.239,02,D4:8A:FC:C5:8B:B2,R_Biceps,0
2024-08-07 21:09:03.249,02,D4:8A:FC:C5:8B:B2,R_Biceps,0
2024-08-07 21:09:03.259,02,D4:8A:FC:C5:8B:B2,R_Biceps,0
2024-08-07 21:09:03.269,02,D4:8A:FC:C5:8B:B2,R_Biceps,0
2024-08-07 21:09:03.279,02,D4:8A:FC:C5:8B:B2,R_Biceps,0
2024-08-07 21:09:03.190,06,D4:8A:FC:C5:AB:32,R_Latiss,0
2024-08-07 21:09:03.200,06,D4:8A:FC:C5:AB:32,R_Latiss,0
2024-08-07 21:09:03.210,06,D4:8A:FC:C5:AB:32,R_Latiss,0
2024-08-07 21:09:03.220,06,D4:8A:FC:C5:AB:32,R_Latiss,0
2024-08-07 21:09:03.230,06,D4:8A:FC:C5:AB:32,R_Latiss,0
2024-08-07 21:09:03.240,06,D4:8A:FC:C5:AB:32,R_Latiss,0
2024-08-07 21:09:03.250,06,D4:8A:FC:C5:AB:32,R_Latiss,0
2024-08-07 21:09:03.260,06,D4:8A:FC:C5:AB:32,R_Latiss,0
2024-08-07 21:09:03.270,06,D4:8A:FC:C5:AB:32,R_Latiss,0
2024-08-07 21:09:03.280,06,D4:8A:FC:C5:AB:32,R_Latiss,0
2024-08-07 21:09:03.208,04,D4:8A:FC:C5:A5:CA,R_Deltoid,0
2024-08-07 21:09:03.218,04,D4:8A:FC:C5:A5:CA,R_Deltoid,0
2024-08-07 21:09:03.228,04,D4:8A:FC:C5:A5:CA,R_Deltoid,0
2024-08-07 21:09:03.238,04,D4:8A:FC:C5:A5:CA,R_Deltoid,0
2024-08-07 21:09:03.248,04,D4:8A:FC:C5:A5:CA,R_Deltoid,0
2024-08-07 21:09:03.258,04,D4:8A:FC:C5:A5:CA,R_Deltoid,0
2024-08-07 21:09:03.268,04,D4:8A:FC:C5:A5:CA,R_Deltoid,0
2024-08-07 21:09:03.278,04,D4:8A:FC:C5:A5:CA,R_Deltoid,0
2024-08-07 21:09:03.288,04,D4:8A:FC:C5:A5:CA,R_Deltoid,0
2024-08-07 21:09:03.298,04,D4:8A:FC:C5:A5:CA,R_Deltoid,0
2024-08-07 21:09:03.209,08,D4:8A:FC:C5:06:7E,R_Trapezius,0
2024-08-07 21:09:03.219,08,D4:8A:FC:C5:06:7E,R_Trapezius,0
2024-08-07 21:09:03.229,08,D4:8A:FC:C5:06:7E,R_Trapezius,0
2024-08-07 21:09:03.239,08,D4:8A:FC:C5:06:7E,R_Trapezius,0
2024-08-07 21:09:03.249,08,D4:8A:FC:C5:06:7E,R_Trapezius,0
2024-08-07 21:09:03.259,08,D4:8A:FC:C5:06:7E,R_Trapezius,0
2024-08-07 21:09:03.269,08,D4:8A:FC:C5:06:7E,R_Trapezius,0
2024-08-07 21:09:03.279,08,D4:8A:FC:C5:06:7E,R_Trapezius,0
2024-08-07 21:09:03.289,08,D4:8A:FC:C5:06:7E,R_Trapezius,0
2024-08-07 21:09:03.299,08,D4:8A:FC:C5:06:7E,R_Trapezius,0
2024-08-07 21:09:03.210,04,D4:8A:FC:C5:A5:CA,R_Deltoid,0
2024-08-07 21:09:03.220,04,D4:8A:FC:C5:A5:CA,R_Deltoid,0
2024-08-07 21:09:03.230,04,D4:8A:FC:C5:A5:CA,R_Deltoid,0
2024-08-07 21:09:03.240,04,D4:8A:FC:C5:A5:CA,R_Deltoid,0
2024-08-07 21:09:03.250,04,D4:8A:FC:C5:A5:CA,R_Deltoid,0
2024-08-07 21:09:03.260,04,D4:8A:FC:C5:A5:CA,R_Deltoid,0
2024-08-07 21:09:03.270,04,D4:8A:FC:C5:A5:CA,R_Deltoid,0
2024-08-07 21:09:03.280,04,D4:8A:FC:C5:A5:CA,R_Deltoid,0
2024-08-07 21:09:03.290,04,D4:8A:FC:C5:A5:CA,R_Deltoid,0
2024-08-07 21:09:03.300,04,D4:8A:FC:C5:A5:CA,R_Deltoid,0
2024-08-07 21:09:03.232,06,D4:8A:FC:C5:AB:32,R_Latiss,0
2024-08-07 21:09:03.242,06,D4:8A:FC:C5:AB:32,R_Latiss,0
2024-08-07 21:09:03.252,06,D4:8A:FC:C5:AB:32,R_Latiss,0
2024-08-07 21:09:03.262,06,D4:8A:FC:C5:AB:32,R_Latiss,0
2024-08-07 21:09:03.272,06,D4:8A:FC:C5:AB:32,R_Latiss,0
2024-08-07 21:09:03.282,06,D4:8A:FC:C5:AB:32,R_Latiss,0
2024-08-07 21:09:03.292,06,D4:8A:FC:C5:AB:32,R_Latiss,0
2024-08-07 21:09:03.302,06,D4:8A:FC:C5:AB:32,R_Latiss,0
2024-08-07 21:09:03.312,06,D4:8A:FC:C5:AB:32,R_Latiss,0
2024-08-07 21:09:03.322,06,D4:8A:FC:C5:AB:32,R_Latiss,0
2024-08-07 21:09:03.233,01,E4:65:B8:14:BA:9A,L_Biceps,0
2024-08-07 21:09:03.243,01,E4:65:B8:14:BA:9A,L_Biceps,0
2024-08-07 21:09:03.253,01,E4:65:B8:14:BA:9A,L_Biceps,0
2024-08-07 21:09:03.263,01,E4:65:B8:14:BA:9A,L_Biceps,0
2024-08-07 21:09:03.273,01,E4:65:B8:14:BA:9A,L_Biceps,0
2024-08-07 21:09:03.283,01,E4:65:B8:14:BA:9A,L_Biceps,0
2024-08-07 21:09:03.293,01,E4:65:B8:14:BA:9A,L_Biceps,0
2024-08-07 21:09:03.303,01,E4:65:B8:14:BA:9A,L_Biceps,0
2024-08-07 21:09:03.313,01,E4:65:B8:14:BA:9A,L_Biceps,0
2024-08-07 21:09:03.323,01,E4:65:B8:14:BA:9A,L_Biceps,0
2024-08-07 21:09:03.260,03,E4:65:B8:14:79:5E,L_Deltoid,1
2024-08-07 21:09:03.270,03,E4:65:B8:14:79:5E,L_Deltoid,0
2024-08-07 21:09:03.280,03,E4:65:B8:14:79:5E,L_Deltoid,34
2024-08-07 21:09:03.290,03,E4:65:B8:14:79:5E,L_Deltoid,46
2024-08-07 21:09:03.300,03,E4:65:B8:14:79:5E,L_Deltoid,54
2024-08-07 21:09:03.310,03,E4:65:B8:14:79:5E,L_Deltoid,59
2024-08-07 21:09:03.320,03,E4:65:B8:14:79:5E,L_Deltoid,51
2024-08-07 21:09:03.330,03,E4:65:B8:14:79:5E,L_Deltoid,42
2024-08-07 21:09:03.340,03,E4:65:B8:14:79:5E,L_Deltoid,26
2024-08-07 21:09:03.350,03,E4:65:B8:14:79:5E,L_Deltoid,15
2024-08-07 21:09:03.296,04,D4:8A:FC:C5:A5:CA,R_Deltoid,0
2024-08-07 21:09:03.306,04,D4:8A:FC:C5:A5:CA,R_Deltoid,0
2024-08-07 21:09:03.316,04,D4:8A:FC:C5:A5:CA,R_Deltoid,0
2024-08-07 21:09:03.326,04,D4:8A:FC:C5:A5:CA,R_Deltoid,0
2024-08-07 21:09:03.336,04,D4:8A:FC:C5:A5:CA,R_Deltoid,0
2024-08-07 21:09:03.346,04,D4:8A:FC:C5:A5:CA,R_Deltoid,0
2024-08-07 21:09:03.356,04,D4:8A:FC:C5:A5:CA,R_Deltoid,0
2024-08-07 21:09:03.366,04,D4:8A:FC:C5:A5:CA,R_Deltoid,0
2024-08-07 21:09:03.376,04,D4:8A:FC:C5:A5:CA,R_Deltoid,0
2024-08-07 21:09:03.386,04,D4:8A:FC:C5:A5:CA,R_Deltoid,0
2024-08-07 21:09:03.297,08,D4:8A:FC:C5:06:7E,R_Trapezius,0
2024-08-07 21:09:03.307,08,D4:8A:FC:C5:06:7E,R_Trapezius,0
2024-08-07 21:09:03.317,08,D4:8A:FC:C5:06:7E,R_Trapezius,0
2024-08-07 21:09:03.327,08,D4:8A:FC:C5:06:7E,R_Trapezius,0
2024-08-07 21:09:03.337,08,D4:8A:FC:C5:06:7E,R_Trapezius,0
2024-08-07 21:09:03.347,08,D4:8A:FC:C5:06:7E,R_Trapezius,0
2024-08-07 21:09:03.357,08,D4:8A:FC:C5:06:7E,R_Trapezius,0
2024-08-07 21:09:03.367,08,D4:8A:FC:C5:06:7E,R_Trapezius,0
2024-08-07 21:09:03.377,08,D4:8A:FC:C5:06:7E,R_Trapezius,0
2024-08-07 21:09:03.387,08,D4:8A:FC:C5:06:7E,R_Trapezius,0
2024-08-07 21:09:03.324,07,D4:8A:FC:C5:9E:12,L_Trapezius,73
2024-08-07 21:09:03.334,07,D4:8A:FC:C5:9E:12,L_Trapezius,51
2024-08-07 21:09:03.344,07,D4:8A:FC:C5:9E:12,L_Trapezius,33
2024-08-07 21:09:03.354,07,D4:8A:FC:C5:9E:12,L_Trapezius,16
2024-08-07 21:09:03.364,07,D4:8A:FC:C5:9E:12,L_Trapezius,3
2024-08-07 21:09:03.374,07,D4:8A:FC:C5:9E:12,L_Trapezius,0
2024-08-07 21:09:03.384,07,D4:8A:FC:C5:9E:12,L_Trapezius,98
2024-08-07 21:09:03.394,07,D4:8A:FC:C5:9E:12,L_Trapezius,73
2024-08-07 21:09:03.404,07,D4:8A:FC:C5:9E:12,L_Trapezius,54
2024-08-07 21:09:03.414,07,D4:8A:FC:C5:9E:12,L_Trapezius,68
2024-08-07 21:09:03.325,02,D4:8A:FC:C5:8B:B2,R_Biceps,0
2024-08-07 21:09:03.335,02,D4:8A:FC:C5:8B:B2,R_Biceps,0
2024-08-07 21:09:03.345,02,D4:8A:FC:C5:8B:B2,R_Biceps,0
2024-08-07 21:09:03.355,02,D4:8A:FC:C5:8B:B2,R_Biceps,0
2024-08-07 21:09:03.365,02,D4:8A:FC:C5:8B:B2,R_Biceps,0
2024-08-07 21:09:03.375,02,D4:8A:FC:C5:8B:B2,R_Biceps,0
2024-08-07 21:09:03.385,02,D4:8A:FC:C5:8B:B2,R_Biceps,0
