timestamp,frame_id
2024-08-07_19-54-39.138162,1
2024-08-07_19-54-39.169455,2
2024-08-07_19-54-39.203288,3
2024-08-07_19-54-39.236863,4
2024-08-07_19-54-39.270327,5
2024-08-07_19-54-39.303636,6
2024-08-07_19-54-39.337262,7
2024-08-07_19-54-39.370353,8
2024-08-07_19-54-39.404281,9
2024-08-07_19-54-39.437398,10
2024-08-07_19-54-39.470658,11
2024-08-07_19-54-39.503579,12
2024-08-07_19-54-39.537447,13
2024-08-07_19-54-39.570303,14
2024-08-07_19-54-39.604848,15
2024-08-07_19-54-39.637454,16
2024-08-07_19-54-39.671173,17
2024-08-07_19-54-39.703410,18
2024-08-07_19-54-39.736937,19
2024-08-07_19-54-39.770081,20
2024-08-07_19-54-39.803800,21
2024-08-07_19-54-39.836714,22
2024-08-07_19-54-39.870031,23
2024-08-07_19-54-39.904175,24
2024-08-07_19-54-39.936931,25
2024-08-07_19-54-39.970133,26
2024-08-07_19-54-40.004148,27
2024-08-07_19-54-40.036883,28
2024-08-07_19-54-40.104919,29
2024-08-07_19-54-40.136854,30
2024-08-07_19-54-40.170336,31
2024-08-07_19-54-40.203474,32
2024-08-07_19-54-40.236608,33
2024-08-07_19-54-40.270230,34
2024-08-07_19-54-40.303921,35
2024-08-07_19-54-40.337030,36
2024-08-07_19-54-40.370115,37
2024-08-07_19-54-40.403422,38
2024-08-07_19-54-40.437375,39
2024-08-07_19-54-40.473223,40
2024-08-07_19-54-40.504687,41
2024-08-07_19-54-40.537564,42
2024-08-07_19-54-40.570088,43
2024-08-07_19-54-40.603235,44
2024-08-07_19-54-40.637529,45
2024-08-07_19-54-40.670302,46
2024-08-07_19-54-40.703036,47
2024-08-07_19-54-40.737231,48
2024-08-07_19-54-40.770236,49
2024-08-07_19-54-40.804597,50
2024-08-07_19-54-40.836589,51
2024-08-07_19-54-40.870549,52
2024-08-07_19-54-40.903862,53
2024-08-07_19-54-40.936824,54
2024-08-07_19-54-40.971071,55
2024-08-07_19-54-41.003287,56
2024-08-07_19-54-41.036785,57
2024-08-07_19-54-41.070282,58
2024-08-07_19-54-41.103359,59
2024-08-07_19-54-41.137437,60
2024-08-07_19-54-41.170607,61
2024-08-07_19-54-41.204467,62
2024-08-07_19-54-41.237038,63
2024-08-07_19-54-41.270025,64
2024-08-07_19-54-41.304155,65
2024-08-07_19-54-41.337024,66
2024-08-07_19-54-41.404489,67
2024-08-07_19-54-41.470085,68
2024-08-07_19-54-41.536762,69
2024-08-07_19-54-41.603155,70
2024-08-07_19-54-41.670847,71
2024-08-07_19-54-41.736827,72
2024-08-07_19-54-41.803747,73
2024-08-07_19-54-41.837050,74
2024-08-07_19-54-41.870532,75
2024-08-07_19-54-41.902884,76
2024-08-07_19-54-41.936634,77
2024-08-07_19-54-41.971696,78
2024-08-07_19-54-42.003472,79
2024-08-07_19-54-42.036731,80
2024-08-07_19-54-42.069902,81
2024-08-07_19-54-42.103524,82
2024-08-07_19-54-42.137009,83
2024-08-07_19-54-42.170135,84
2024-08-07_19-54-42.202935,85
2024-08-07_19-54-42.236459,86
2024-08-07_19-54-42.269208,87
2024-08-07_19-54-42.303431,88
