timestamp,frame_id
2024-08-07_21-10-17.690835,1
2024-08-07_21-10-17.723885,2
2024-08-07_21-10-17.757296,3
2024-08-07_21-10-17.790667,4
2024-08-07_21-10-17.823669,5
2024-08-07_21-10-17.857208,6
2024-08-07_21-10-17.890399,7
2024-08-07_21-10-17.924109,8
2024-08-07_21-10-17.957276,9
2024-08-07_21-10-17.990810,10
2024-08-07_21-10-18.024231,11
2024-08-07_21-10-18.057380,12
2024-08-07_21-10-18.090268,13
2024-08-07_21-10-18.123652,14
2024-08-07_21-10-18.157306,15
2024-08-07_21-10-18.190985,16
2024-08-07_21-10-18.223844,17
2024-08-07_21-10-18.257625,18
2024-08-07_21-10-18.290545,19
2024-08-07_21-10-18.325266,20
2024-08-07_21-10-18.357763,21
2024-08-07_21-10-18.391949,22
2024-08-07_21-10-18.425962,23
2024-08-07_21-10-18.457486,24
2024-08-07_21-10-18.489785,25
2024-08-07_21-10-18.523948,26
2024-08-07_21-10-18.556595,27
2024-08-07_21-10-18.590197,28
2024-08-07_21-10-18.623556,29
2024-08-07_21-10-18.657402,30
2024-08-07_21-10-18.691121,31
2024-08-07_21-10-18.724377,32
2024-08-07_21-10-18.757037,33
2024-08-07_21-10-18.790253,34
2024-08-07_21-10-18.823595,35
2024-08-07_21-10-18.857639,36
2024-08-07_21-10-18.890250,37
2024-08-07_21-10-18.924461,38
2024-08-07_21-10-18.957025,39
2024-08-07_21-10-18.990699,40
2024-08-07_21-10-19.023448,41
2024-08-07_21-10-19.056729,42
2024-08-07_21-10-19.090086,43
2024-08-07_21-10-19.123498,44
2024-08-07_21-10-19.157142,45
2024-08-07_21-10-19.190223,46
2024-08-07_21-10-19.224120,47
2024-08-07_21-10-19.256846,48
2024-08-07_21-10-19.291714,49
2024-08-07_21-10-19.322437,50
2024-08-07_21-10-19.355615,51
2024-08-07_21-10-19.389278,52
2024-08-07_21-10-19.423440,53
2024-08-07_21-10-19.456862,54
2024-08-07_21-10-19.490048,55
2024-08-07_21-10-19.523475,56
2024-08-07_21-10-19.557364,57
2024-08-07_21-10-19.590294,58
2024-08-07_21-10-19.623363,59
2024-08-07_21-10-19.656740,60
2024-08-07_21-10-19.690109,61
2024-08-07_21-10-19.723159,62
2024-08-07_21-10-19.756940,63
2024-08-07_21-10-19.790285,64
2024-08-07_21-10-19.824303,65
2024-08-07_21-10-19.856384,66
2024-08-07_21-10-19.889743,67
2024-08-07_21-10-19.923663,68
2024-08-07_21-10-19.956729,69
2024-08-07_21-10-19.990097,70
2024-08-07_21-10-20.023247,71
2024-08-07_21-10-20.056541,72
2024-08-07_21-10-20.089762,73
2024-08-07_21-10-20.125060,74
2024-08-07_21-10-20.157129,75
2024-08-07_21-10-20.191969,76
2024-08-07_21-10-20.224275,77
2024-08-07_21-10-20.256848,78
2024-08-07_21-10-20.290281,79
2024-08-07_21-10-20.323958,80
2024-08-07_21-10-20.355770,81
2024-08-07_21-10-20.389817,82
2024-08-07_21-10-20.423383,83
2024-08-07_21-10-20.457711,84
2024-08-07_21-10-20.489632,85
2024-08-07_21-10-20.523151,86
2024-08-07_21-10-20.556508,87
2024-08-07_21-10-20.589916,88
2024-08-07_21-10-20.623192,89
2024-08-07_21-10-20.660576,90
2024-08-07_21-10-20.689540,91
2024-08-07_21-10-20.724324,92
2024-08-07_21-10-20.756461,93
2024-08-07_21-10-20.789958,94
2024-08-07_21-10-20.823152,95
2024-08-07_21-10-20.856422,96
