timestamp,frame_id
2024-08-07_21-16-07.912866,1
2024-08-07_21-16-07.978896,2
2024-08-07_21-16-08.045723,3
2024-08-07_21-16-08.112272,4
2024-08-07_21-16-08.179578,5
2024-08-07_21-16-08.245592,6
2024-08-07_21-16-08.311848,7
2024-08-07_21-16-08.378593,8
2024-08-07_21-16-08.484727,9
2024-08-07_21-16-08.549428,10
2024-08-07_21-16-08.612633,11
2024-08-07_21-16-08.678528,12
2024-08-07_21-16-08.745726,13
2024-08-07_21-16-08.811955,14
2024-08-07_21-16-08.845865,15
2024-08-07_21-16-08.878244,16
2024-08-07_21-16-08.912136,17
2024-08-07_21-16-08.945229,18
2024-08-07_21-16-08.978468,19
2024-08-07_21-16-09.011832,20
2024-08-07_21-16-09.045478,21
2024-08-07_21-16-09.078510,22
2024-08-07_21-16-09.111778,23
2024-08-07_21-16-09.145292,24
2024-08-07_21-16-09.178797,25
2024-08-07_21-16-09.212800,26
2024-08-07_21-16-09.245385,27
2024-08-07_21-16-09.278868,28
2024-08-07_21-16-09.312319,29
2024-08-07_21-16-09.345444,30
2024-08-07_21-16-09.378866,31
2024-08-07_21-16-09.412928,32
2024-08-07_21-16-09.445527,33
2024-08-07_21-16-09.478656,34
2024-08-07_21-16-09.512869,35
2024-08-07_21-16-09.545539,36
2024-08-07_21-16-09.580886,37
2024-08-07_21-16-09.614796,38
2024-08-07_21-16-09.645576,39
2024-08-07_21-16-09.678704,40
2024-08-07_21-16-09.712850,41
2024-08-07_21-16-09.745152,42
2024-08-07_21-16-09.779009,43
2024-08-07_21-16-09.813039,44
2024-08-07_21-16-09.845109,45
2024-08-07_21-16-09.878486,46
2024-08-07_21-16-09.912024,47
2024-08-07_21-16-09.945091,48
2024-08-07_21-16-09.978586,49
2024-08-07_21-16-10.011610,50
2024-08-07_21-16-10.044734,51
2024-08-07_21-16-10.080882,52
2024-08-07_21-16-10.113349,53
2024-08-07_21-16-10.145548,54
2024-08-07_21-16-10.179107,55
2024-08-07_21-16-10.212095,56
2024-08-07_21-16-10.245507,57
2024-08-07_21-16-10.278374,58
2024-08-07_21-16-10.312354,59
2024-08-07_21-16-10.346381,60
2024-08-07_21-16-10.378660,61
2024-08-07_21-16-10.412359,62
2024-08-07_21-16-10.444505,63
2024-08-07_21-16-10.476941,64
2024-08-07_21-16-10.513039,65
2024-08-07_21-16-10.545674,66
2024-08-07_21-16-10.578648,67
2024-08-07_21-16-10.616019,68
2024-08-07_21-16-10.644395,69
2024-08-07_21-16-10.678171,70
2024-08-07_21-16-10.713119,71
2024-08-07_21-16-10.745227,72
2024-08-07_21-16-10.778387,73
2024-08-07_21-16-10.812159,74
2024-08-07_21-16-10.845330,75
2024-08-07_21-16-10.878471,76
2024-08-07_21-16-10.911828,77
2024-08-07_21-16-10.945744,78
2024-08-07_21-16-10.979169,79
2024-08-07_21-16-11.012126,80
2024-08-07_21-16-11.045079,81
2024-08-07_21-16-11.078358,82
