timestamp,frame_id
2024-08-07_21-03-49.479926,1
2024-08-07_21-03-49.510099,2
2024-08-07_21-03-49.541501,3
2024-08-07_21-03-49.575298,4
2024-08-07_21-03-49.608680,5
2024-08-07_21-03-49.641838,6
2024-08-07_21-03-49.675792,7
2024-08-07_21-03-49.708436,8
2024-08-07_21-03-49.742084,9
2024-08-07_21-03-49.775042,10
2024-08-07_21-03-49.810718,11
2024-08-07_21-03-49.841269,12
2024-08-07_21-03-49.874752,13
2024-08-07_21-03-49.909269,14
2024-08-07_21-03-49.942471,15
2024-08-07_21-03-49.975626,16
2024-08-07_21-03-50.008280,17
2024-08-07_21-03-50.041569,18
2024-08-07_21-03-50.075070,19
2024-08-07_21-03-50.108314,20
2024-08-07_21-03-50.141862,21
2024-08-07_21-03-50.175137,22
2024-08-07_21-03-50.208251,23
2024-08-07_21-03-50.243152,24
2024-08-07_21-03-50.276952,25
2024-08-07_21-03-50.310219,26
2024-08-07_21-03-50.343728,27
2024-08-07_21-03-50.376862,28
2024-08-07_21-03-50.410351,29
2024-08-07_21-03-50.443598,30
2024-08-07_21-03-50.476929,31
2024-08-07_21-03-50.510404,32
2024-08-07_21-03-50.543607,33
2024-08-07_21-03-50.576962,34
2024-08-07_21-03-50.610434,35
2024-08-07_21-03-50.643510,36
2024-08-07_21-03-50.676833,37
2024-08-07_21-03-50.712285,38
2024-08-07_21-03-50.743822,39
2024-08-07_21-03-50.778959,40
2024-08-07_21-03-50.813752,41
2024-08-07_21-03-50.845762,42
2024-08-07_21-03-50.877309,43
2024-08-07_21-03-50.910654,44
2024-08-07_21-03-50.943662,45
2024-08-07_21-03-50.976590,46
2024-08-07_21-03-51.010079,47
2024-08-07_21-03-51.044830,48
2024-08-07_21-03-51.077116,49
2024-08-07_21-03-51.110110,50
2024-08-07_21-03-51.143800,51
2024-08-07_21-03-51.177310,52
2024-08-07_21-03-51.210392,53
2024-08-07_21-03-51.243500,54
2024-08-07_21-03-51.277187,55
2024-08-07_21-03-51.310890,56
2024-08-07_21-03-51.344357,57
2024-08-07_21-03-51.376962,58
2024-08-07_21-03-51.410662,59
2024-08-07_21-03-51.443463,60
2024-08-07_21-03-51.477426,61
2024-08-07_21-03-51.510095,62
2024-08-07_21-03-51.544288,63
2024-08-07_21-03-51.577043,64
2024-08-07_21-03-51.611118,65
2024-08-07_21-03-51.643399,66
2024-08-07_21-03-51.677105,67
2024-08-07_21-03-51.710178,68
2024-08-07_21-03-51.744858,69
2024-08-07_21-03-51.776765,70
2024-08-07_21-03-51.810631,71
2024-08-07_21-03-51.843663,72
2024-08-07_21-03-51.876844,73
2024-08-07_21-03-51.910038,74
2024-08-07_21-03-51.943395,75
2024-08-07_21-03-51.976654,76
2024-08-07_21-03-52.009928,77
2024-08-07_21-03-52.043389,78
2024-08-07_21-03-52.076936,79
2024-08-07_21-03-52.110082,80
2024-08-07_21-03-52.144280,81
2024-08-07_21-03-52.177284,82
2024-08-07_21-03-52.213339,83
2024-08-07_21-03-52.243639,84
2024-08-07_21-03-52.277023,85
2024-08-07_21-03-52.309994,86
2024-08-07_21-03-52.343656,87
2024-08-07_21-03-52.376940,88
2024-08-07_21-03-52.409890,89
2024-08-07_21-03-52.443825,90
2024-08-07_21-03-52.476739,91
2024-08-07_21-03-52.511179,92
2024-08-07_21-03-52.543699,93
2024-08-07_21-03-52.576410,94
2024-08-07_21-03-52.610195,95
2024-08-07_21-03-52.644160,96
2024-08-07_21-03-52.677070,97
2024-08-07_21-03-52.710436,98
