timestamp,frame_id
2024-08-07_21-18-15.152003,1
2024-08-07_21-18-15.182018,2
2024-08-07_21-18-15.216213,3
2024-08-07_21-18-15.248632,4
2024-08-07_21-18-15.282711,5
2024-08-07_21-18-15.314766,6
2024-08-07_21-18-15.350315,7
2024-08-07_21-18-15.382145,8
2024-08-07_21-18-15.415611,9
2024-08-07_21-18-15.448631,10
2024-08-07_21-18-15.482136,11
2024-08-07_21-18-15.517078,12
2024-08-07_21-18-15.551333,13
2024-08-07_21-18-15.583756,14
2024-08-07_21-18-15.618491,15
2024-08-07_21-18-15.650339,16
2024-08-07_21-18-15.683648,17
2024-08-07_21-18-15.717432,18
2024-08-07_21-18-15.750524,19
2024-08-07_21-18-15.783712,20
2024-08-07_21-18-15.817544,21
2024-08-07_21-18-15.850620,22
2024-08-07_21-18-15.884489,23
2024-08-07_21-18-15.917633,24
2024-08-07_21-18-15.952775,25
2024-08-07_21-18-15.984234,26
2024-08-07_21-18-16.017745,27
2024-08-07_21-18-16.050661,28
2024-08-07_21-18-16.084581,29
2024-08-07_21-18-16.117340,30
2024-08-07_21-18-16.150178,31
2024-08-07_21-18-16.184548,32
2024-08-07_21-18-16.217292,33
2024-08-07_21-18-16.251299,34
2024-08-07_21-18-16.283870,35
2024-08-07_21-18-16.317488,36
2024-08-07_21-18-16.352337,37
2024-08-07_21-18-16.388175,38
2024-08-07_21-18-16.418915,39
2024-08-07_21-18-16.454999,40
2024-08-07_21-18-16.484476,41
2024-08-07_21-18-16.518475,42
2024-08-07_21-18-16.552188,43
2024-08-07_21-18-16.582659,44
2024-08-07_21-18-16.616202,45
2024-08-07_21-18-16.651928,46
2024-08-07_21-18-16.686671,47
2024-08-07_21-18-16.720177,48
2024-08-07_21-18-16.751733,49
2024-08-07_21-18-16.783516,50
2024-08-07_21-18-16.817047,51
2024-08-07_21-18-16.850405,52
2024-08-07_21-18-16.887164,53
2024-08-07_21-18-16.917007,54
2024-08-07_21-18-16.952123,55
2024-08-07_21-18-16.987812,56
2024-08-07_21-18-17.020477,57
2024-08-07_21-18-17.051088,58
2024-08-07_21-18-17.083512,59
2024-08-07_21-18-17.116736,60
2024-08-07_21-18-17.150220,61
2024-08-07_21-18-17.183191,62
2024-08-07_21-18-17.217125,63
2024-08-07_21-18-17.250351,64
2024-08-07_21-18-17.283883,65
2024-08-07_21-18-17.316863,66
2024-08-07_21-18-17.350119,67
2024-08-07_21-18-17.384314,68
2024-08-07_21-18-17.418668,69
2024-08-07_21-18-17.450028,70
2024-08-07_21-18-17.483487,71
2024-08-07_21-18-17.516924,72
2024-08-07_21-18-17.550155,73
2024-08-07_21-18-17.583128,74
2024-08-07_21-18-17.617245,75
2024-08-07_21-18-17.649617,76
2024-08-07_21-18-17.683387,77
2024-08-07_21-18-17.716843,78
2024-08-07_21-18-17.750076,79
2024-08-07_21-18-17.783134,80
2024-08-07_21-18-17.816879,81
2024-08-07_21-18-17.849817,82
2024-08-07_21-18-17.884453,83
2024-08-07_21-18-17.917294,84
2024-08-07_21-18-17.950157,85
2024-08-07_21-18-17.985296,86
2024-08-07_21-18-18.016891,87
2024-08-07_21-18-18.050056,88
2024-08-07_21-18-18.083654,89
2024-08-07_21-18-18.118543,90
2024-08-07_21-18-18.150015,91
2024-08-07_21-18-18.182967,92
2024-08-07_21-18-18.217240,93
2024-08-07_21-18-18.249973,94
2024-08-07_21-18-18.282700,95
2024-08-07_21-18-18.316297,96
