timestamp,EMG
2024-05-28_12-53-16.745985,"100.89,84.69"
2024-05-28_12-53-16.777784,"84.26,86.22"
2024-05-28_12-53-16.810589,"107.64,74.87"
2024-05-28_12-53-16.843324,"94.82,82.50"
2024-05-28_12-53-16.876033,"107.63,52.73"
2024-05-28_12-53-16.904724,"96.13,51.51"
2024-05-28_12-53-16.937484,"87.50,53.05"
2024-05-28_12-53-16.970399,"63.98,61.04"
2024-05-28_12-53-17.003066,"68.51,62.10"
2024-05-28_12-53-17.035834,"79.17,88.27"
2024-05-28_12-53-17.068616,"91.75,75.38"
2024-05-28_12-53-17.101272,"103.37,81.14"
2024-05-28_12-53-17.129980,"92.28,84.14"
2024-05-28_12-53-17.162733,"87.33,70.46"
2024-05-28_12-53-17.195627,"98.79,52.72"
2024-05-28_12-53-17.228267,"97.43,55.92"
2024-05-28_12-53-17.261034,"77.00,48.12"
2024-05-28_12-53-17.293850,"65.68,87.30"
2024-05-28_12-53-17.326536,"74.13,81.15"
2024-05-28_12-53-17.355312,"87.66,93.73"
2024-05-28_12-53-17.388052,"100.83,78.50"
2024-05-28_12-53-17.420783,"95.67,81.99"
2024-05-28_12-53-17.453602,"104.20,81.46"
2024-05-28_12-53-17.486433,"97.06,51.25"
2024-05-28_12-53-17.519158,"98.90,53.03"
2024-05-28_12-53-17.551806,"101.52,56.38"
2024-05-28_12-53-17.584525,"65.68,57.48"
2024-05-28_12-53-17.615886,"75.96,55.27"
2024-05-28_12-53-17.647470,"79.89,77.39"
2024-05-28_12-53-17.678905,"91.66,91.16"
2024-05-28_12-53-17.711676,"93.78,86.11"
2024-05-28_12-53-17.744386,"80.72,74.24"
2024-05-28_12-53-17.777103,"103.30,52.24"
2024-05-28_12-53-17.809776,"96.42,56.42"
2024-05-28_12-53-17.838609,"94.51,46.77"
2024-05-28_12-53-17.871391,"90.40,58.12"
2024-05-28_12-53-17.904134,"59.24,64.52"
2024-05-28_12-53-17.936878,"77.33,71.17"
2024-05-28_12-53-17.969730,"85.10,94.55"
2024-05-28_12-53-18.002328,"93.12,85.46"
2024-05-28_12-53-18.035043,"95.98,80.85"
2024-05-28_12-53-18.063839,"100.26,68.86"
2024-05-28_12-53-18.096603,"100.22,68.59"
2024-05-28_12-53-18.129543,"107.46,56.65"
2024-05-28_12-53-18.162227,"92.24,54.03"
2024-05-28_12-53-18.199173,"78.36,55.22"
2024-05-28_12-53-18.227668,"59.78,57.21"
2024-05-28_12-53-18.260363,"73.58,91.57"
2024-05-28_12-53-18.289121,"86.85,90.62"
2024-05-28_12-53-18.321857,"79.37,76.80"
2024-05-28_12-53-18.354699,"99.93,80.51"
2024-05-28_12-53-18.387412,"91.54,71.66"
2024-05-28_12-53-18.420240,"77.44,64.57"
2024-05-28_12-53-18.452933,"110.46,57.04"
2024-05-28_12-53-18.485668,"88.25,54.72"
2024-05-28_12-53-18.514427,"74.24,55.73"
2024-05-28_12-53-18.547190,"73.57,85.66"
2024-05-28_12-53-18.579891,"81.24,80.02"
2024-05-28_12-53-18.612680,"96.46,87.34"
2024-05-28_12-53-18.645440,"82.63,77.52"
2024-05-28_12-53-18.678349,"95.12,79.35"
2024-05-28_12-53-18.710953,"105.82,72.27"
2024-05-28_12-53-18.739744,"83.03,53.37"
2024-05-28_12-53-18.772440,"110.53,53.20"
2024-05-28_12-53-18.805214,"77.26,53.64"
2024-05-28_12-53-18.837938,"66.25,56.69"
2024-05-28_12-53-18.870745,"71.93,77.65"
2024-05-28_12-53-18.903428,"79.00,83.14"
2024-05-28_12-53-18.936210,"85.39,80.54"
2024-05-28_12-53-18.964901,"89.65,84.69"
2024-05-28_12-53-18.997716,"86.69,76.69"
2024-05-28_12-53-19.030462,"101.54,71.67"
2024-05-28_12-53-19.063378,"75.28,53.75"
2024-05-28_12-53-19.096000,"107.11,52.94"
2024-05-28_12-53-19.128765,"74.82,58.02"
2024-05-28_12-53-19.161389,"76.84,82.99"
2024-05-28_12-53-19.190174,"71.96,95.87"
2024-05-28_12-53-19.222940,"94.88,77.08"
2024-05-28_12-53-19.255701,"88.08,82.36"
2024-05-28_12-53-19.288499,"107.88,74.92"
2024-05-28_12-53-19.321238,"93.97,82.73"
2024-05-28_12-53-19.353984,"98.59,52.64"
2024-05-28_12-53-19.386675,"86.87,51.16"
2024-05-28_12-53-19.415435,"94.61,51.85"
2024-05-28_12-53-19.448195,"68.61,60.83"
2024-05-28_12-53-19.481018,"71.90,82.49"
2024-05-28_12-53-19.513765,"75.66,88.76"
2024-05-28_12-53-19.546508,"93.02,82.63"
2024-05-28_12-53-19.579276,"93.89,84.22"
2024-05-28_12-53-19.611981,"98.44,85.04"
2024-05-28_12-53-19.640716,"75.09,70.27"
2024-05-28_12-53-19.673463,"88.31,69.14"
2024-05-28_12-53-19.708256,"96.90,56.59"
2024-05-28_12-53-19.741544,"83.80,47.80"
2024-05-28_12-53-19.771814,"69.76,77.61"
2024-05-28_12-53-19.804589,"79.33,68.79"
2024-05-28_12-53-19.837222,"86.66,85.91"
2024-05-28_12-53-19.865981,"83.11,76.97"
2024-05-28_12-53-19.898916,"97.34,83.13"
2024-05-28_12-53-19.931640,"98.72,68.35"
2024-05-28_12-53-19.964369,"98.45,51.38"
2024-05-28_12-53-19.997032,"98.24,53.68"
2024-05-28_12-53-20.029863,"97.68,56.61"
2024-05-28_12-53-20.062489,"66.44,56.84"
2024-05-28_12-53-20.091262,"63.56,78.12"
2024-05-28_12-53-20.124064,"74.37,79.49"
2024-05-28_12-53-20.157775,"82.71,93.03"
2024-05-28_12-53-20.189725,"86.08,89.23"
2024-05-28_12-53-20.222452,"85.14,62.09"
2024-05-28_12-53-20.255543,"93.17,56.01"
2024-05-28_12-53-20.289628,"95.87,57.41"
2024-05-28_12-53-20.316693,"77.31,49.32"
2024-05-28_12-53-20.351325,"92.44,59.07"
2024-05-28_12-53-20.382235,"58.03,57.58"
2024-05-28_12-53-20.417526,"77.03,71.97"
2024-05-28_12-53-20.450096,"78.19,94.02"
2024-05-28_12-53-20.480512,"87.94,86.71"
2024-05-28_12-53-20.527910,"78.37,89.06"
2024-05-28_12-53-20.543800,"89.50,57.64"
2024-05-28_12-53-20.575689,"84.12,56.22"
2024-05-28_12-53-20.607396,"100.64,57.82"
2024-05-28_12-53-20.640097,"98.24,54.39"
2024-05-28_12-53-20.674035,"75.89,55.52"
2024-05-28_12-53-20.705655,"65.46,56.25"
2024-05-28_12-53-20.738294,"76.16,83.26"
2024-05-28_12-53-20.767094,"95.54,89.37"
2024-05-28_12-53-20.799842,"82.95,76.65"
2024-05-28_12-53-20.832618,"104.28,79.72"
2024-05-28_12-53-20.865372,"94.18,72.10"
2024-05-28_12-53-20.898211,"99.85,46.74"
2024-05-28_12-53-20.930913,"109.76,56.65"
2024-05-28_12-53-20.963695,"82.00,54.86"
2024-05-28_12-53-20.996276,"72.49,56.27"
2024-05-28_12-53-21.025118,"71.79,91.96"
2024-05-28_12-53-21.057931,"80.98,87.42"
2024-05-28_12-53-21.090678,"92.89,86.23"
2024-05-28_12-53-21.123710,"84.28,81.87"
2024-05-28_12-53-21.156173,"94.76,79.79"
2024-05-28_12-53-21.188858,"95.20,71.84"
2024-05-28_12-53-21.221603,"96.12,53.34"
2024-05-28_12-53-21.250402,"107.86,53.65"
2024-05-28_12-53-21.285081,"77.39,53.70"
2024-05-28_12-53-21.324130,"64.06,64.69"
2024-05-28_12-53-21.348704,"77.87,90.33"
2024-05-28_12-53-21.381522,"88.23,88.88"
2024-05-28_12-53-21.444228,"71.34,95.46"
2024-05-28_12-53-21.451628,"77.23,66.73"
2024-05-28_12-53-21.477305,"82.82,52.45"
2024-05-28_12-53-21.515189,"103.37,57.65"
2024-05-28_12-53-21.541603,"79.87,55.26"
2024-05-28_12-53-21.573929,"82.03,57.49"
2024-05-28_12-53-21.606868,"69.20,59.05"
2024-05-28_12-53-21.642233,"72.89,60.32"
2024-05-28_12-53-21.672187,"70.98,96.36"
2024-05-28_12-53-21.700973,"81.30,79.56"
2024-05-28_12-53-21.733775,"82.47,88.45"
2024-05-28_12-53-21.766477,"98.86,63.46"
2024-05-28_12-53-21.799230,"93.17,54.00"
2024-05-28_12-53-21.832063,"99.29,53.09"
2024-05-28_12-53-21.864672,"99.02,51.81"
2024-05-28_12-53-21.897408,"75.48,54.09"
2024-05-28_12-53-21.926151,"59.59,77.38"
2024-05-28_12-53-21.958970,"77.89,90.57"
2024-05-28_12-53-21.991829,"78.83,90.88"
2024-05-28_12-53-22.024545,"79.60,72.72"
2024-05-28_12-53-22.057270,"92.50,86.10"
2024-05-28_12-53-22.089968,"97.22,84.49"
2024-05-28_12-53-22.122654,"75.04,54.11"
2024-05-28_12-53-22.151427,"108.09,53.02"
2024-05-28_12-53-22.184289,"96.27,56.73"
2024-05-28_12-53-22.217008,"68.08,49.47"
2024-05-28_12-53-22.249765,"71.96,78.63"
2024-05-28_12-53-22.282507,"81.65,88.50"
2024-05-28_12-53-22.315203,"96.80,82.49"
2024-05-28_12-53-22.347937,"100.12,78.35"
2024-05-28_12-53-22.376706,"86.45,81.11"
