timestamp,EMG
2024-05-28_12-55-56.402555,"72.52,56.80"
2024-05-28_12-55-56.435295,"61.01,57.24"
2024-05-28_12-55-56.468124,"72.29,76.21"
2024-05-28_12-55-56.500745,"84.22,91.55"
2024-05-28_12-55-56.529490,"93.99,86.03"
2024-05-28_12-55-56.562274,"88.16,79.83"
2024-05-28_12-55-56.595038,"92.28,74.22"
2024-05-28_12-55-56.627942,"95.41,78.45"
2024-05-28_12-55-56.660600,"101.72,56.25"
2024-05-28_12-55-56.693319,"88.46,54.19"
2024-05-28_12-55-56.726023,"108.74,53.03"
2024-05-28_12-55-56.754749,"94.76,56.46"
2024-05-28_12-55-56.787564,"77.32,48.60"
2024-05-28_12-55-56.820332,"69.31,61.76"
2024-05-28_12-55-56.853065,"64.82,62.65"
2024-05-28_12-55-56.885891,"75.69,91.78"
2024-05-28_12-55-56.918596,"83.34,94.18"
2024-05-28_12-55-56.951262,"92.90,78.50"
2024-05-28_12-55-56.980001,"102.31,80.56"
2024-05-28_12-55-57.012861,"92.69,70.29"
2024-05-28_12-55-57.045590,"98.10,68.02"
2024-05-28_12-55-57.078437,"105.53,56.44"
2024-05-28_12-55-57.111162,"95.57,53.47"
2024-05-28_12-55-57.143940,"111.21,53.58"
2024-05-28_12-55-57.176564,"84.21,52.76"
2024-05-28_12-55-57.205308,"66.96,56.02"
2024-05-28_12-55-57.238060,"58.67,57.12"
2024-05-28_12-55-57.270867,"77.71,83.87"
2024-05-28_12-55-57.303672,"83.58,85.20"
2024-05-28_12-55-57.336403,"78.26,80.32"
2024-05-28_12-55-57.369164,"91.66,86.98"
2024-05-28_12-55-57.401842,"99.43,85.81"
2024-05-28_12-55-57.430562,"89.03,70.84"
2024-05-28_12-55-57.463435,"108.01,52.65"
2024-05-28_12-55-57.496153,"98.14,57.21"
2024-05-28_12-55-57.528942,"101.23,46.69"
2024-05-28_12-55-57.561658,"88.71,59.15"
2024-05-28_12-55-57.594389,"55.33,58.73"
2024-05-28_12-55-57.627105,"64.47,78.26"
2024-05-28_12-55-57.659806,"81.58,88.75"
2024-05-28_12-55-57.688664,"86.46,89.82"
2024-05-28_12-55-57.721350,"95.39,88.47"
2024-05-28_12-55-57.754153,"87.15,72.47"
2024-05-28_12-55-57.791838,"94.22,81.88"
2024-05-28_12-55-57.830655,"90.82,60.09"
2024-05-28_12-55-57.855371,"85.10,54.91"
2024-05-28_12-55-57.885320,"94.25,55.02"
2024-05-28_12-55-57.916552,"74.44,53.04"
2024-05-28_12-55-57.947067,"81.09,56.86"
2024-05-28_12-55-57.979541,"76.64,58.70"
2024-05-28_12-55-58.012233,"72.61,64.39"
2024-05-28_12-55-58.044974,"73.95,83.14"
2024-05-28_12-55-58.077638,"78.59,79.94"
2024-05-28_12-55-58.110376,"80.55,92.98"
2024-05-28_12-55-58.139194,"90.76,93.26"
2024-05-28_12-55-58.172088,"88.47,74.97"
2024-05-28_12-55-58.204693,"104.31,68.30"
2024-05-28_12-55-58.237446,"96.85,56.37"
2024-05-28_12-55-58.270184,"89.01,46.79"
2024-05-28_12-55-58.302942,"107.51,56.60"
2024-05-28_12-55-58.335620,"80.57,55.74"
2024-05-28_12-55-58.367920,"72.98,56.90"
2024-05-28_12-55-58.397347,"60.28,57.11"
2024-05-28_12-55-58.429995,"78.96,77.01"
2024-05-28_12-55-58.462780,"69.19,95.56"
2024-05-28_12-55-58.495515,"92.98,81.73"
2024-05-28_12-55-58.528232,"89.48,81.19"
2024-05-28_12-55-58.561724,"100.55,71.51"
2024-05-28_12-55-58.589755,"92.52,82.38"
2024-05-28_12-55-58.622487,"104.83,52.87"
2024-05-28_12-55-58.655181,"97.02,51.75"
2024-05-28_12-55-58.688274,"100.20,53.38"
2024-05-28_12-55-58.720824,"109.56,57.51"
2024-05-28_12-55-58.753439,"70.96,57.49"
2024-05-28_12-55-58.786156,"67.75,58.71"
2024-05-28_12-55-58.815406,"67.03,59.86"
2024-05-28_12-55-58.848899,"78.51,82.58"
2024-05-28_12-55-58.880544,"78.44,98.74"
2024-05-28_12-55-58.913289,"71.00,85.17"
2024-05-28_12-55-58.946051,"88.33,80.81"
2024-05-28_12-55-58.978741,"95.66,72.78"
2024-05-28_12-55-59.011438,"99.21,46.40"
2024-05-28_12-55-59.040191,"112.59,57.04"
2024-05-28_12-55-59.072968,"88.21,54.68"
2024-05-28_12-55-59.105732,"107.04,53.41"
2024-05-28_12-55-59.138483,"78.48,58.00"
2024-05-28_12-55-59.171251,"66.02,52.67"
2024-05-28_12-55-59.204006,"70.96,94.27"
2024-05-28_12-55-59.236705,"76.26,80.45"
2024-05-28_12-55-59.265548,"83.27,86.08"
2024-05-28_12-55-59.298213,"98.67,81.97"
2024-05-28_12-55-59.331021,"84.17,87.94"
2024-05-28_12-55-59.363784,"99.19,80.72"
2024-05-28_12-55-59.396522,"95.88,68.88"
2024-05-28_12-55-59.429312,"100.68,52.36"
2024-05-28_12-55-59.462084,"107.20,56.58"
2024-05-28_12-55-59.490804,"97.58,54.00"
2024-05-28_12-55-59.523535,"88.38,56.03"
2024-05-28_12-55-59.558836,"64.88,56.55"
2024-05-28_12-55-59.590375,"67.40,64.52"
2024-05-28_12-55-59.622037,"77.56,75.74"
2024-05-28_12-55-59.654685,"73.29,85.01"
2024-05-28_12-55-59.687340,"100.01,85.39"
2024-05-28_12-55-59.716063,"84.61,81.81"
2024-05-28_12-55-59.748897,"91.49,81.67"
2024-05-28_12-55-59.781550,"106.06,57.35"
2024-05-28_12-55-59.814348,"88.69,54.54"
2024-05-28_12-55-59.847179,"109.19,53.71"
2024-05-28_12-55-59.879874,"86.75,57.55"
2024-05-28_12-55-59.912544,"87.36,48.52"
2024-05-28_12-55-59.941392,"75.95,61.83"
2024-05-28_12-55-59.974208,"56.48,59.00"
2024-05-28_12-56-00.006889,"72.66,83.78"
2024-05-28_12-56-00.039595,"84.30,87.69"
2024-05-28_12-56-00.072503,"77.45,86.54"
2024-05-28_12-56-00.111275,"90.24,92.25"
2024-05-28_12-56-00.137923,"86.58,63.43"
2024-05-28_12-56-00.166640,"78.74,60.93"
2024-05-28_12-56-00.199331,"95.89,56.91"
2024-05-28_12-56-00.232111,"84.42,54.02"
2024-05-28_12-56-00.264871,"103.25,53.72"
2024-05-28_12-56-00.297623,"88.26,53.03"
2024-05-28_12-56-00.330443,"67.33,56.47"
2024-05-28_12-56-00.363084,"61.66,56.71"
2024-05-28_12-56-00.391894,"74.42,87.25"
2024-05-28_12-56-00.424597,"81.98,87.75"
2024-05-28_12-56-00.457343,"79.18,81.69"
2024-05-28_12-56-00.491165,"90.41,83.85"
2024-05-28_12-56-00.523098,"109.57,88.51"
2024-05-28_12-56-00.555711,"78.16,55.73"
2024-05-28_12-56-00.588885,"96.24,55.44"
2024-05-28_12-56-00.621061,"87.57,57.84"
2024-05-28_12-56-00.649916,"99.86,46.99"
2024-05-28_12-56-00.682608,"91.71,57.47"
2024-05-28_12-56-00.715459,"56.55,58.35"
2024-05-28_12-56-00.748210,"65.54,78.69"
2024-05-28_12-56-00.780911,"80.67,90.30"
2024-05-28_12-56-00.813623,"84.88,89.67"
2024-05-28_12-56-00.846374,"95.53,90.14"
2024-05-28_12-56-00.875163,"86.28,73.28"
2024-05-28_12-56-00.907920,"89.94,84.97"
2024-05-28_12-56-00.940961,"97.93,57.38"
2024-05-28_12-56-00.973481,"93.20,53.93"
2024-05-28_12-56-01.006292,"107.52,54.63"
2024-05-28_12-56-01.038889,"97.08,51.58"
2024-05-28_12-56-01.071648,"94.50,53.19"
2024-05-28_12-56-01.100388,"73.93,60.88"
2024-05-28_12-56-01.133147,"64.10,58.44"
2024-05-28_12-56-01.165937,"70.25,76.93"
2024-05-28_12-56-01.198669,"78.65,79.60"
2024-05-28_12-56-01.231440,"85.26,90.41"
