timestamp,EMG
2024-05-28_13-27-44.952812,"17,72.11"
2024-05-28_13-27-44.953033,".61,68.98"
2024-05-28_13-27-44.953146,"52.86,72.94"
2024-05-28_13-27-44.953242,"57.81,76.13"
2024-05-28_13-27-44.953326,"88.12,76.92"
2024-05-28_13-27-44.953410,"76.71,61.19"
2024-05-28_13-27-44.953498,"88.14,44.82"
2024-05-28_13-27-44.953586,"76.33,57.84"
2024-05-28_13-27-44.953674,"70.60,47.43"
2024-05-28_13-27-44.953761,"53.24,76.27"
2024-05-28_13-27-44.953847,"55.17,72.11"
2024-05-28_13-27-46.607296,"85.73,65.31"
2024-05-28_13-27-46.639859,"70.73,59.25"
2024-05-28_13-27-46.672694,"59.66,65.66"
2024-05-28_13-27-46.705524,"48.36,69.61"
2024-05-28_13-27-46.738167,"70.48,78.05"
2024-05-28_13-27-46.770866,"53.91,71.31"
2024-05-28_13-27-46.799550,"52.05,72.99"
2024-05-28_13-27-46.832314,"88.71,77.35"
2024-05-28_13-27-46.865101,"80.31,77.52"
2024-05-28_13-27-46.897863,"85.61,41.71"
2024-05-28_13-27-46.930638,"79.92,61.15"
2024-05-28_13-27-46.963458,"67.28,59.92"
2024-05-28_13-27-46.996111,"58.23,65.41"
2024-05-28_13-27-47.028824,"56.98,75.49"
2024-05-28_13-27-47.057588,"64.50,74.23"
2024-05-28_13-27-47.090419,"59.01,69.87"
2024-05-28_13-27-47.123095,"80.86,97.75"
2024-05-28_13-27-47.155926,"79.18,67.18"
2024-05-28_13-27-47.188675,"74.99,78.63"
2024-05-28_13-27-47.221384,"87.34,41.45"
2024-05-28_13-27-47.254048,"84.43,62.70"
2024-05-28_13-27-47.282866,"62.32,57.02"
2024-05-28_13-27-47.315697,"57.17,74.63"
2024-05-28_13-27-47.349029,"57.05,68.13"
2024-05-28_13-27-47.381228,"68.35,72.28"
2024-05-28_13-27-47.413973,"60.58,69.25"
2024-05-28_13-27-47.446722,"66.64,94.73"
2024-05-28_13-27-47.479366,"84.47,79.79"
2024-05-28_13-27-47.508144,"70.51,65.23"
2024-05-28_13-27-47.540921,"85.67,38.87"
2024-05-28_13-27-47.573729,"94.11,62.21"
2024-05-28_13-27-47.606445,"53.48,62.62"
2024-05-28_13-27-47.639215,"51.29,71.08"
2024-05-28_13-27-47.671960,"60.14,66.62"
2024-05-28_13-27-47.704669,"64.67,71.88"
2024-05-28_13-27-47.733417,"54.82,69.57"
2024-05-28_13-27-47.766257,"85.14,81.17"
2024-05-28_13-27-47.799064,"72.67,76.84"
2024-05-28_13-27-47.831756,"80.76,48.41"
2024-05-28_13-27-47.864490,"84.41,35.19"
2024-05-28_13-27-47.897278,"78.12,73.73"
2024-05-28_13-27-47.929951,"51.40,64.31"
2024-05-28_13-27-47.958737,"53.28,71.05"
2024-05-28_13-27-47.993754,"76.13,67.45"
2024-05-28_13-27-48.024293,"57.61,71.44"
2024-05-28_13-27-48.056989,"50.93,80.10"
2024-05-28_13-27-48.089757,"82.84,74.59"
2024-05-28_13-27-48.122520,"73.29,75.58"
2024-05-28_13-27-48.155230,"84.09,49.63"
2024-05-28_13-27-48.183930,"53.79,80.13"
2024-05-28_13-27-48.216777,"60.33,70.09"
2024-05-28_13-27-48.249502,"53.68,64.81"
2024-05-28_13-27-48.282362,"54.91,71.16"
2024-05-28_13-27-48.315101,"59.03,65.54"
2024-05-28_13-27-48.347768,"60.86,78.45"
2024-05-28_13-27-48.380468,"50.79,74.44"
2024-05-28_13-27-48.409306,"73.49,69.12"
2024-05-28_13-27-48.442081,"73.26,74.93"
2024-05-28_13-27-48.474785,"90.54,67.06"
2024-05-28_13-27-48.507699,"78.79,38.79"
2024-05-28_13-27-48.540400,"63.36,60.97"
2024-05-28_13-27-48.573100,"56.91,65.48"
2024-05-28_13-27-48.605757,"45.78,69.84"
2024-05-28_13-27-48.634544,"59.47,76.07"
2024-05-28_13-27-48.667261,"58.76,70.33"
2024-05-28_13-27-48.700081,"51.06,75.18"
2024-05-28_13-27-48.732795,"87.07,74.50"
2024-05-28_13-27-48.765592,"77.31,78.26"
2024-05-28_13-27-48.798341,"83.63,40.50"
2024-05-28_13-27-48.831063,"79.94,67.48"
2024-05-28_13-27-48.859814,"64.23,59.22"
2024-05-28_13-27-48.892617,"56.23,65.17"
2024-05-28_13-27-48.925358,"55.28,75.67"
2024-05-28_13-27-48.958116,"63.98,72.85"
2024-05-28_13-27-48.990892,"56.50,69.08"
2024-05-28_13-27-49.023634,"60.41,85.36"
2024-05-28_13-27-49.056356,"90.65,64.31"
2024-05-28_13-27-49.089082,"72.23,62.43"
2024-05-28_13-27-49.117989,"87.93,41.08"
2024-05-28_13-27-49.150684,"81.57,62.95"
2024-05-28_13-27-49.183364,"41.58,74.48"
2024-05-28_13-27-49.216248,"58.46,75.52"
2024-05-28_13-27-49.248944,"57.52,67.51"
2024-05-28_13-27-49.281628,"64.74,71.86"
2024-05-28_13-27-49.315652,"60.04,71.27"
