timestamp,EMG
2024-05-28_13-19-17.690520,"84.68,74.06"
2024-05-28_13-19-17.723206,"81.58,85.58"
2024-05-28_13-19-17.751993,"86.03,86.42"
2024-05-28_13-19-17.784768,"82.42,70.64"
2024-05-28_13-19-17.817558,"86.74,74.71"
2024-05-28_13-19-17.850326,"77.05,79.53"
2024-05-28_13-19-17.883074,"75.77,72.00"
2024-05-28_13-19-17.915812,"86.19,81.40"
2024-05-28_13-19-17.948507,"76.94,81.09"
2024-05-28_13-19-17.977378,"87.24,68.98"
2024-05-28_13-19-18.010123,"99.04,73.62"
2024-05-28_13-19-18.042932,"75.66,67.81"
2024-05-28_13-19-18.075648,"93.88,83.15"
2024-05-28_13-19-18.108363,"83.46,81.99"
2024-05-28_13-19-18.141104,"81.54,86.60"
2024-05-28_13-19-18.173810,"84.90,80.48"
2024-05-28_13-19-18.202579,"81.19,83.48"
2024-05-28_13-19-18.235342,"83.98,70.85"
2024-05-28_13-19-18.268122,"87.50,80.12"
2024-05-28_13-19-18.300936,"84.90,72.55"
2024-05-28_13-19-18.333764,"92.55,63.95"
2024-05-28_13-19-18.366561,"109.32,77.51"
2024-05-28_13-19-18.399113,"71.42,77.99"
2024-05-28_13-19-18.427858,"90.74,78.38"
2024-05-28_13-19-18.460583,"75.46,85.14"
2024-05-28_13-19-18.493420,"92.35,75.74"
2024-05-28_13-19-18.526228,"85.06,79.17"
2024-05-28_13-19-18.558986,"79.23,72.28"
2024-05-28_13-19-18.591725,"73.26,79.68"
2024-05-28_13-19-18.624399,"83.07,70.85"
2024-05-28_13-19-18.653139,"88.32,82.51"
2024-05-28_13-19-18.685983,"88.98,68.69"
2024-05-28_13-19-18.718675,"93.98,52.41"
2024-05-28_13-19-18.751472,"66.89,80.11"
2024-05-28_13-19-18.784228,"89.24,90.31"
2024-05-28_13-19-18.817011,"98.66,80.65"
2024-05-28_13-19-18.849686,"72.07,85.13"
2024-05-28_13-19-18.878441,"80.53,74.59"
2024-05-28_13-19-18.911215,"90.37,75.28"
2024-05-28_13-19-18.944030,"80.43,83.66"
2024-05-28_13-19-18.976769,"78.93,70.66"
2024-05-28_13-19-19.009561,"90.47,81.15"
2024-05-28_13-19-19.042279,"84.16,72.15"
2024-05-28_13-19-19.075013,"102.50,45.61"
2024-05-28_13-19-19.103725,"76.28,78.81"
2024-05-28_13-19-19.136462,"74.39,77.29"
2024-05-28_13-19-19.169221,"95.57,81.92"
2024-05-28_13-19-19.202074,"92.93,71.54"
2024-05-28_13-19-19.234933,"84.69,84.29"
2024-05-28_13-19-19.267694,"84.16,84.04"
2024-05-28_13-19-19.300243,"88.69,56.42"
2024-05-28_13-19-19.332946,"80.86,80.48"
2024-05-28_13-19-19.361757,"82.89,71.15"
2024-05-28_13-19-19.394611,"88.33,70.02"
2024-05-28_13-19-19.427324,"105.78,53.37"
