timestamp,EMG
2024-05-28_12-50-51.705456,"71.05,72.98"
2024-05-28_12-50-51.738035,"77.39,88.02"
2024-05-28_12-50-51.770770,"84.46,80.41"
2024-05-28_12-50-51.803460,"77.35,79.94"
2024-05-28_12-50-51.832233,"85.29,77.60"
2024-05-28_12-50-51.865062,"81.54,71.39"
2024-05-28_12-50-51.897813,"94.22,63.79"
2024-05-28_12-50-51.930534,"82.36,60.57"
2024-05-28_12-50-51.963335,"53.75,79.30"
2024-05-28_12-50-51.996042,"90.11,85.30"
2024-05-28_12-50-52.028697,"86.18,83.94"
2024-05-28_12-50-52.057593,"85.92,85.13"
2024-05-28_12-50-52.090268,"75.68,81.57"
2024-05-28_12-50-52.123034,"80.61,67.66"
2024-05-28_12-50-52.155773,"84.49,75.91"
2024-05-28_12-50-52.188540,"80.46,70.64"
2024-05-28_12-50-52.221326,"107.25,70.22"
2024-05-28_12-50-52.253992,"89.10,52.91"
2024-05-28_12-50-52.282790,"59.34,71.28"
2024-05-28_12-50-52.315521,"82.64,75.38"
2024-05-28_12-50-52.348290,"78.12,85.39"
2024-05-28_12-50-52.381049,"77.43,78.05"
2024-05-28_12-50-52.413900,"76.09,79.91"
2024-05-28_12-50-52.446587,"77.63,80.82"
2024-05-28_12-50-52.479263,"78.03,74.87"
2024-05-28_12-50-52.508072,"89.78,83.16"
2024-05-28_12-50-52.541179,"91.93,71.71"
2024-05-28_12-50-52.573611,"87.58,52.61"
2024-05-28_12-50-52.606319,"64.97,56.50"
2024-05-28_12-50-52.639102,"82.22,71.89"
2024-05-28_12-50-52.672226,"73.03,85.66"
2024-05-28_12-50-52.704555,"77.26,77.44"
2024-05-28_12-50-52.733302,"77.30,84.93"
2024-05-28_12-50-52.766074,"74.95,73.89"
2024-05-28_12-50-52.801165,"92.77,77.14"
2024-05-28_12-50-52.831635,"86.22,79.59"
2024-05-28_12-50-52.864362,"91.83,53.30"
2024-05-28_12-50-52.897095,"98.79,50.24"
2024-05-28_12-50-52.929796,"76.69,60.36"
2024-05-28_12-50-52.958538,"61.36,62.12"
2024-05-28_12-50-52.991326,"76.29,80.08"
2024-05-28_12-50-53.024117,"76.16,77.88"
2024-05-28_12-50-53.056887,"86.16,78.91"
2024-05-28_12-50-53.089641,"73.32,82.96"
2024-05-28_12-50-53.122347,"71.28,76.64"
2024-05-28_12-50-53.155052,"85.39,77.12"
