timestamp,EMG
2024-05-28_19-20-04.291474,18.26
2024-05-28_19-20-04.324214,16.82
2024-05-28_19-20-04.356608,17.29
2024-05-28_19-20-04.389104,17.98
2024-05-28_19-20-04.421917,22.66
2024-05-28_19-20-04.450537,18.11
2024-05-28_19-20-04.483900,13.85
2024-05-28_19-20-04.527037,17.65
2024-05-28_19-20-04.548960,19.45
2024-05-28_19-20-04.581615,17.63
2024-05-28_19-20-04.614657,18.16
2024-05-28_19-20-04.647175,18.21
2024-05-28_19-20-04.679794,17.82
2024-05-28_19-20-04.708479,21.83
2024-05-28_19-20-04.741264,18.73
2024-05-28_19-20-04.774059,20.39
2024-05-28_19-20-04.806872,17.32
2024-05-28_19-20-04.839656,19.41
2024-05-28_19-20-04.872372,19.12
2024-05-28_19-20-04.905144,14.23
2024-05-28_19-20-04.933762,16.70
2024-05-28_19-20-04.966614,17.35
2024-05-28_19-20-04.999594,19.71
2024-05-28_19-20-05.032077,17.94
2024-05-28_19-20-05.064815,16.42
2024-05-28_19-20-05.097712,17.48
2024-05-28_19-20-05.130625,15.02
2024-05-28_19-20-05.159081,19.76
2024-05-28_19-20-05.191791,15.01
2024-05-28_19-20-05.225634,17.42
2024-05-28_19-20-05.257324,13.72
2024-05-28_19-20-05.290103,19.66
2024-05-28_19-20-05.322952,15.60
2024-05-28_19-20-05.355991,18.55
2024-05-28_19-20-05.388422,16.20
2024-05-28_19-20-05.417172,19.44
2024-05-28_19-20-05.450024,18.59
2024-05-28_19-20-05.482679,15.04
2024-05-28_19-20-05.515693,16.81
2024-05-28_19-20-05.552931,15.98
2024-05-28_19-20-05.590475,17.27
2024-05-28_19-20-05.615091,15.94
2024-05-28_19-20-05.645695,16.74
2024-05-28_19-20-05.676408,15.59
2024-05-28_19-20-05.715644,17.21
2024-05-28_19-20-05.742498,18.63
2024-05-28_19-20-05.774051,18.38
2024-05-28_19-20-05.806223,13.96
2024-05-28_19-20-05.839045,17.82
2024-05-28_19-20-05.867695,15.53
2024-05-28_19-20-05.900471,17.20
2024-05-28_19-20-05.933511,15.58
2024-05-28_19-20-05.965948,15.54
2024-05-28_19-20-05.998959,16.19
2024-05-28_19-20-06.031550,18.84
2024-05-28_19-20-06.064226,18.05
2024-05-28_19-20-06.092878,15.28
2024-05-28_19-20-06.125742,18.32
2024-05-28_19-20-06.158413,12.96
2024-05-28_19-20-06.191205,20.09
2024-05-28_19-20-06.223991,14.53
2024-05-28_19-20-06.256756,16.47
2024-05-28_19-20-06.289471,13.70
2024-05-28_19-20-06.322223,17.93
2024-05-28_19-20-06.350903,16.37
2024-05-28_19-20-06.383697,16.41
2024-05-28_19-20-06.416481,17.63
2024-05-28_19-20-06.449218,15.42
2024-05-28_19-20-06.482204,20.23
2024-05-28_19-20-06.514894,13.18
2024-05-28_19-20-06.547652,17.58
2024-05-28_19-20-06.576211,13.90
2024-05-28_19-20-06.608935,18.76
2024-05-28_19-20-06.641800,15.46
2024-05-28_19-20-06.674545,16.36
2024-05-28_19-20-06.707292,15.55
2024-05-28_19-20-06.740031,18.60
2024-05-28_19-20-06.772764,18.84
2024-05-28_19-20-06.801553,15.26
2024-05-28_19-20-06.834250,16.57
2024-05-28_19-20-06.867025,15.95
2024-05-28_19-20-06.899794,17.48
2024-05-28_19-20-06.932540,15.74
2024-05-28_19-20-06.965287,16.92
2024-05-28_19-20-06.998069,14.76
2024-05-28_19-20-07.030737,16.21
2024-05-28_19-20-07.059524,19.03
2024-05-28_19-20-07.092257,18.05
2024-05-28_19-20-07.125009,15.86
2024-05-28_19-20-07.157755,17.48
2024-05-28_19-20-07.190561,14.26
2024-05-28_19-20-07.223479,17.22
2024-05-28_19-20-07.255999,15.55
2024-05-28_19-20-07.284746,15.77
2024-05-28_19-20-07.317563,15.41
2024-05-28_19-20-07.350266,17.65
2024-05-28_19-20-07.383045,17.19
2024-05-28_19-20-07.416327,15.56
2024-05-28_19-20-07.448810,18.33
2024-05-28_19-20-07.481401,13.80
2024-05-28_19-20-07.510002,20.99
2024-05-28_19-20-07.542869,14.07
2024-05-28_19-20-07.575683,17.65
2024-05-28_19-20-07.608359,13.05
2024-05-28_19-20-07.641180,18.59
2024-05-28_19-20-07.675879,16.22
2024-05-28_19-20-07.706704,16.62
2024-05-28_19-20-07.742928,17.65
2024-05-28_19-20-07.769605,15.70
2024-05-28_19-20-07.800870,20.82
2024-05-28_19-20-07.833702,12.15
2024-05-28_19-20-07.868078,17.94
2024-05-28_19-20-07.899410,14.25
2024-05-28_19-20-07.931919,18.46
2024-05-28_19-20-07.964653,15.82
2024-05-28_19-20-07.993303,16.04
2024-05-28_19-20-08.026212,14.50
2024-05-28_19-20-08.058906,17.93
2024-05-28_19-20-08.091762,19.43
2024-05-28_19-20-08.124366,16.00
2024-05-28_19-20-08.157134,17.76
2024-05-28_19-20-08.189880,14.51
2024-05-28_19-20-08.218685,16.97
2024-05-28_19-20-08.251387,16.94
2024-05-28_19-20-08.284147,16.76
2024-05-28_19-20-08.316896,15.34
2024-05-28_19-20-08.349761,16.65
2024-05-28_19-20-08.382440,18.87
2024-05-28_19-20-08.415196,18.49
2024-05-28_19-20-08.447871,15.80
2024-05-28_19-20-08.476582,17.61
2024-05-28_19-20-08.509412,14.69
2024-05-28_19-20-08.542162,18.17
2024-05-28_19-20-08.574944,16.54
2024-05-28_19-20-08.607890,15.72
2024-05-28_19-20-08.640543,15.99
2024-05-28_19-20-08.673229,19.50
2024-05-28_19-20-08.701866,15.72
2024-05-28_19-20-08.734650,17.63
2024-05-28_19-20-08.767426,16.75
2024-05-28_19-20-08.800230,17.90
2024-05-28_19-20-08.832973,18.15
2024-05-28_19-20-08.865706,14.43
2024-05-28_19-20-08.898448,15.91
2024-05-28_19-20-08.927177,17.98
2024-05-28_19-20-08.959931,17.87
2024-05-28_19-20-08.992690,18.20
2024-05-28_19-20-09.026475,15.89
2024-05-28_19-20-09.058293,18.34
2024-05-28_19-20-09.090961,17.61
2024-05-28_19-20-09.123777,22.23
2024-05-28_19-20-09.152399,19.17
2024-05-28_19-20-09.185196,20.07
2024-05-28_19-20-09.217940,18.41
2024-05-28_19-20-09.250747,17.22
2024-05-28_19-20-09.283479,17.73
2024-05-28_19-20-09.316257,15.78
2024-05-28_19-20-09.349040,16.04
2024-05-28_19-20-09.381747,16.07
2024-05-28_19-20-09.410478,20.50
2024-05-28_19-20-09.443251,17.64
2024-05-28_19-20-09.476005,18.76
2024-05-28_19-20-09.508742,17.91
2024-05-28_19-20-09.541531,14.32
2024-05-28_19-20-09.574295,20.74
2024-05-28_19-20-09.607095,14.06
2024-05-28_19-20-09.635807,17.08
2024-05-28_19-20-09.668588,14.39
2024-05-28_19-20-09.701230,19.00
2024-05-28_19-20-09.734013,18.30
2024-05-28_19-20-09.766794,17.23
2024-05-28_19-20-09.799560,18.46
2024-05-28_19-20-09.832372,18.45
2024-05-28_19-20-09.860963,20.05
2024-05-28_19-20-09.893800,17.86
2024-05-28_19-20-09.926548,13.73
2024-05-28_19-20-09.959269,17.85
2024-05-28_19-20-09.992102,16.08
2024-05-28_19-20-10.024975,18.22
2024-05-28_19-20-10.057569,16.26
2024-05-28_19-20-10.090279,18.51
2024-05-28_19-20-10.119099,17.65
2024-05-28_19-20-10.151795,20.13
2024-05-28_19-20-10.184602,18.66
2024-05-28_19-20-10.218348,20.70
2024-05-28_19-20-10.250421,17.20
2024-05-28_19-20-10.282926,20.39
2024-05-28_19-20-10.315663,19.48
2024-05-28_19-20-10.344336,17.57
2024-05-28_19-20-10.377131,17.09
2024-05-28_19-20-10.409835,16.70
2024-05-28_19-20-10.442641,19.04
2024-05-28_19-20-10.476304,17.35
2024-05-28_19-20-10.508947,16.68
2024-05-28_19-20-10.541413,18.02
2024-05-28_19-20-10.571094,16.38
2024-05-28_19-20-10.602860,19.68
2024-05-28_19-20-10.635150,14.66
2024-05-28_19-20-10.667904,17.21
2024-05-28_19-20-10.700693,14.41
2024-05-28_19-20-10.733431,18.90
2024-05-28_19-20-10.766221,15.15
2024-05-28_19-20-10.798852,17.49
2024-05-28_19-20-10.827596,17.12
2024-05-28_19-20-10.860430,19.22
2024-05-28_19-20-10.893170,18.17
2024-05-28_19-20-10.925936,15.91
2024-05-28_19-20-10.958717,16.73
2024-05-28_19-20-10.991635,16.00
2024-05-28_19-20-11.024215,17.16
2024-05-28_19-20-11.053278,16.14
2024-05-28_19-20-11.085651,16.51
2024-05-28_19-20-11.118384,15.46
2024-05-28_19-20-11.151155,17.19
2024-05-28_19-20-11.183908,19.88
2024-05-28_19-20-11.216723,18.88
2024-05-28_19-20-11.249515,15.62
2024-05-28_19-20-11.278102,17.04
2024-05-28_19-20-11.310861,14.08
2024-05-28_19-20-11.343616,17.68
2024-05-28_19-20-11.376448,16.10
2024-05-28_19-20-11.409228,15.51
2024-05-28_19-20-11.442011,15.37
2024-05-28_19-20-11.474770,18.29
2024-05-28_19-20-11.503401,17.06
2024-05-28_19-20-11.536168,16.29
2024-05-28_19-20-11.568978,18.04
2024-05-28_19-20-11.601719,15.82
2024-05-28_19-20-11.634638,20.52
2024-05-28_19-20-11.678398,14.21
2024-05-28_19-20-11.701455,17.71
2024-05-28_19-20-11.735303,14.06
2024-05-28_19-20-11.761491,18.83
2024-05-28_19-20-11.794227,15.04
2024-05-28_19-20-11.828699,15.63
2024-05-28_19-20-11.859760,16.77
2024-05-28_19-20-11.892524,16.07
2024-05-28_19-20-11.925239,21.08
2024-05-28_19-20-11.958006,14.86
2024-05-28_19-20-11.986695,18.18
2024-05-28_19-20-12.019463,12.73
2024-05-28_19-20-12.052567,18.98
2024-05-28_19-20-12.085100,15.91
2024-05-28_19-20-12.117768,16.87
2024-05-28_19-20-12.150610,14.64
2024-05-28_19-20-12.183263,17.22
2024-05-28_19-20-12.211949,18.04
2024-05-28_19-20-12.244812,16.52
2024-05-28_19-20-12.277543,17.98
2024-05-28_19-20-12.310277,15.84
2024-05-28_19-20-12.343006,17.90
2024-05-28_19-20-12.375885,16.36
2024-05-28_19-20-12.408703,18.00
2024-05-28_19-20-12.441227,14.53
2024-05-28_19-20-12.470002,16.98
2024-05-28_19-20-12.502754,16.67
2024-05-28_19-20-12.535555,17.48
2024-05-28_19-20-12.568270,15.45
2024-05-28_19-20-12.601076,18.49
2024-05-28_19-20-12.633804,16.05
2024-05-28_19-20-12.666557,18.66
2024-05-28_19-20-12.695230,18.03
2024-05-28_19-20-12.728022,14.76
2024-05-28_19-20-12.760820,16.44
2024-05-28_19-20-12.793577,17.17
2024-05-28_19-20-12.826324,17.89
2024-05-28_19-20-12.859164,14.04
2024-05-28_19-20-12.891821,16.49
2024-05-28_19-20-12.920595,15.10
2024-05-28_19-20-12.953308,20.05
2024-05-28_19-20-12.986048,16.24
2024-05-28_19-20-13.018849,18.60
2024-05-28_19-20-13.051578,15.45
2024-05-28_19-20-13.084480,18.28
2024-05-28_19-20-13.117302,16.72
2024-05-28_19-20-13.149801,16.15
2024-05-28_19-20-13.178596,15.99
2024-05-28_19-20-13.211288,16.07
2024-05-28_19-20-13.244175,17.98
2024-05-28_19-20-13.276884,16.12
2024-05-28_19-20-13.309630,17.19
2024-05-28_19-20-13.344448,17.10
2024-05-28_19-20-13.375115,18.74
2024-05-28_19-20-13.403848,18.63
2024-05-28_19-20-13.436622,17.54
2024-05-28_19-20-13.469388,14.16
2024-05-28_19-20-13.502138,18.05
2024-05-28_19-20-13.534890,16.22
2024-05-28_19-20-13.567659,17.24
2024-05-28_19-20-13.600375,15.20
2024-05-28_19-20-13.629162,16.80
2024-05-28_19-20-13.661886,17.08
2024-05-28_19-20-13.694654,19.01
2024-05-28_19-20-13.727418,18.32
2024-05-28_19-20-13.760148,14.08
2024-05-28_19-20-13.792922,18.43
2024-05-28_19-20-13.825700,14.32
2024-05-28_19-20-13.854366,19.82
2024-05-28_19-20-13.887126,14.03
2024-05-28_19-20-13.919913,17.42
2024-05-28_19-20-13.952685,14.71
2024-05-28_19-20-13.985433,18.75
2024-05-28_19-20-14.018193,17.67
2024-05-28_19-20-14.050956,17.44
2024-05-28_19-20-14.083674,17.52
2024-05-28_19-20-14.112384,15.98
2024-05-28_19-20-14.145238,19.37
2024-05-28_19-20-14.177907,13.74
2024-05-28_19-20-14.210778,17.41
2024-05-28_19-20-14.243460,14.20
2024-05-28_19-20-14.276256,19.15
2024-05-28_19-20-14.308985,16.25
2024-05-28_19-20-14.337653,17.22
2024-05-28_19-20-14.370403,16.07
2024-05-28_19-20-14.403220,18.22
2024-05-28_19-20-14.436023,19.46
2024-05-28_19-20-14.468731,15.52
2024-05-28_19-20-14.501570,17.26
2024-05-28_19-20-14.534255,14.98
2024-05-28_19-20-14.562933,17.57
2024-05-28_19-20-14.595661,16.27
2024-05-28_19-20-14.628532,17.08
2024-05-28_19-20-14.661246,15.18
2024-05-28_19-20-14.694000,17.01
2024-05-28_19-20-14.726775,19.19
2024-05-28_19-20-14.759528,18.63
2024-05-28_19-20-14.792223,17.08
2024-05-28_19-20-14.820935,17.91
2024-05-28_19-20-14.853723,15.56
2024-05-28_19-20-14.886593,17.75
2024-05-28_19-20-14.919261,16.53
2024-05-28_19-20-14.951998,15.92
2024-05-28_19-20-14.984815,15.39
2024-05-28_19-20-15.017556,17.28
2024-05-28_19-20-15.046222,16.60
2024-05-28_19-20-15.078984,16.21
