timestamp,EMG
2024-05-28_13-23-01.223347,"55.98,64.19"
2024-05-28_13-23-01.256081,"59.49,75.27"
2024-05-28_13-23-01.288775,"50.32,71.37"
2024-05-28_13-23-01.321495,"53.37,70.29"
2024-05-28_13-23-01.354499,"82.91,82.23"
2024-05-28_13-23-01.387044,"72.29,64.47"
2024-05-28_13-23-01.419737,"83.56,76.62"
2024-05-28_13-23-01.448551,"70.10,75.81"
2024-05-28_13-23-01.481222,"65.56,70.32"
2024-05-28_13-23-01.513943,"52.08,71.23"
2024-05-28_13-23-01.546746,"55.96,73.52"
2024-05-28_13-23-01.579497,"70.63,68.88"
2024-05-28_13-23-01.612363,"47.73,70.20"
2024-05-28_13-23-01.644888,"59.35,69.62"
2024-05-28_13-23-01.673693,"74.71,75.64"
2024-05-28_13-23-01.706669,"81.39,74.91"
2024-05-28_13-23-01.739358,"85.33,62.27"
2024-05-28_13-23-01.772075,"92.32,73.98"
2024-05-28_13-23-01.804751,"66.61,47.34"
2024-05-28_13-23-01.837543,"48.37,74.69"
2024-05-28_13-23-01.870249,"51.93,69.76"
2024-05-28_13-23-01.898976,"61.48,67.81"
2024-05-28_13-23-01.931709,"55.57,70.74"
2024-05-28_13-23-01.964548,"69.86,79.44"
2024-05-28_13-23-01.997297,"68.67,82.80"
2024-05-28_13-23-02.030039,"82.52,74.13"
2024-05-28_13-23-02.062755,"92.56,64.67"
2024-05-28_13-23-02.095475,"73.34,56.54"
2024-05-28_13-23-02.124239,"57.45,62.03"
2024-05-28_13-23-02.156930,"49.96,65.10"
2024-05-28_13-23-02.189798,"65.56,68.73"
2024-05-28_13-23-02.222533,"59.24,68.61"
2024-05-28_13-23-02.255342,"53.18,71.80"
2024-05-28_13-23-02.288153,"76.94,82.38"
2024-05-28_13-23-02.320724,"67.68,62.48"
2024-05-28_13-23-02.349551,"83.94,72.68"
2024-05-28_13-23-02.382299,"97.52,55.83"
2024-05-28_13-23-02.415023,"62.75,48.65"
2024-05-28_13-23-02.447841,"51.91,73.89"
2024-05-28_13-23-02.480540,"69.15,64.67"
2024-05-28_13-23-02.513256,"59.10,69.54"
2024-05-28_13-23-02.545981,"50.29,69.43"
2024-05-28_13-23-02.578716,"81.47,83.61"
2024-05-28_13-23-02.607474,"55.22,65.84"
2024-05-28_13-23-02.640264,"73.46,68.11"
2024-05-28_13-23-02.673029,"93.68,71.65"
2024-05-28_13-23-02.705801,"85.65,44.67"
2024-05-28_13-23-02.738548,"49.74,63.24"
2024-05-28_13-23-02.771234,"53.16,69.29"
2024-05-28_13-23-02.804002,"63.86,66.62"
2024-05-28_13-23-02.832873,"50.32,69.28"
2024-05-28_13-23-02.865533,"51.99,79.77"
2024-05-28_13-23-02.898413,"85.41,69.16"
2024-05-28_13-23-02.931101,"64.08,72.48"
2024-05-28_13-23-02.964285,"90.83,65.83"
2024-05-28_13-23-02.996613,"82.26,58.91"
2024-05-28_13-23-03.029272,"78.96,73.15"
2024-05-28_13-23-03.058073,"49.68,64.61"
2024-05-28_13-23-03.090841,"52.92,68.51"
2024-05-28_13-23-03.123695,"70.58,66.99"
2024-05-28_13-23-03.157670,"49.55,78.51"
2024-05-28_13-23-03.189256,"53.21,72.76"
2024-05-28_13-23-03.221836,"95.50,67.24"
2024-05-28_13-23-03.254538,"80.62,73.32"
2024-05-28_13-23-03.283319,"92.41,64.41"
2024-05-28_13-23-03.316096,"78.60,59.60"
2024-05-28_13-23-03.348925,"77.58,61.22"
2024-05-28_13-23-03.381627,"53.35,64.49"
