timestamp,EMG
2024-05-28_13-21-01.231546,"80.56,79.77"
2024-05-28_13-21-01.264302,"51.98,71.29"
2024-05-28_13-21-01.296993,"71.79,77.53"
2024-05-28_13-21-01.325794,"87.11,65.86"
2024-05-28_13-21-01.358514,"79.24,76.22"
2024-05-28_13-21-01.391275,"85.16,57.00"
2024-05-28_13-21-01.424001,"82.33,60.81"
2024-05-28_13-21-01.456821,"54.37,72.75"
2024-05-28_13-21-01.489544,"56.75,64.24"
2024-05-28_13-21-01.522255,"57.84,74.14"
2024-05-28_13-21-01.551015,"54.47,69.28"
2024-05-28_13-21-01.583889,"65.56,67.71"
2024-05-28_13-21-01.616651,"60.99,71.59"
2024-05-28_13-21-01.649307,"53.74,68.86"
2024-05-28_13-21-01.682226,"94.76,82.25"
2024-05-28_13-21-01.714847,"75.57,74.68"
2024-05-28_13-21-01.747614,"79.09,65.77"
2024-05-28_13-21-01.780359,"101.43,76.46"
2024-05-28_13-21-01.809188,"76.07,64.42"
2024-05-28_13-21-01.841872,"47.11,64.56"
2024-05-28_13-21-01.874643,"53.41,68.66"
2024-05-28_13-21-01.907339,"63.70,65.59"
2024-05-28_13-21-01.940192,"66.57,67.94"
2024-05-28_13-21-01.972879,"66.58,76.42"
2024-05-28_13-21-02.001564,"53.88,71.13"
2024-05-28_13-21-02.034309,"54.70,72.36"
2024-05-28_13-21-02.067119,"90.17,70.72"
2024-05-28_13-21-02.099906,"75.83,78.97"
2024-05-28_13-21-02.132654,"80.59,75.32"
2024-05-28_13-21-02.165438,"89.57,60.42"
2024-05-28_13-21-02.198143,"72.89,63.26"
2024-05-28_13-21-02.226896,"50.48,66.39"
2024-05-28_13-21-02.259606,"54.37,74.10"
2024-05-28_13-21-02.292392,"56.17,69.18"
2024-05-28_13-21-02.325163,"59.77,66.24"
2024-05-28_13-21-02.357930,"67.07,69.63"
2024-05-28_13-21-02.390856,"59.68,69.12"
2024-05-28_13-21-02.423399,"54.11,85.49"
2024-05-28_13-21-02.452202,"86.46,67.02"
2024-05-28_13-21-02.484976,"65.72,69.82"
2024-05-28_13-21-02.517700,"82.76,73.23"
2024-05-28_13-21-02.550455,"92.13,78.60"
2024-05-28_13-21-02.583209,"70.67,49.61"
2024-05-28_13-21-02.616061,"66.20,71.72"
2024-05-28_13-21-02.648724,"58.65,64.54"
2024-05-28_13-21-02.681411,"50.11,67.37"
2024-05-28_13-21-02.710233,"65.01,74.98"
2024-05-28_13-21-02.742983,"72.60,68.41"
2024-05-28_13-21-02.775800,"53.20,71.09"
2024-05-28_13-21-02.808515,"60.33,81.74"
2024-05-28_13-21-02.841276,"84.99,86.70"
2024-05-28_13-21-02.873985,"77.57,74.98"
2024-05-28_13-21-02.906709,"77.24,65.59"
2024-05-28_13-21-02.935493,"85.19,77.57"
2024-05-28_13-21-02.968255,"88.83,60.42"
2024-05-28_13-21-03.001114,"54.13,77.79"
2024-05-28_13-21-03.033847,"49.43,69.77"
2024-05-28_13-21-03.066671,"55.87,64.00"
2024-05-28_13-21-03.099290,"57.08,69.04"
2024-05-28_13-21-03.132066,"68.13,67.29"
2024-05-28_13-21-03.160858,"54.08,77.43"
2024-05-28_13-21-03.193540,"53.15,72.31"
2024-05-28_13-21-03.226321,"95.74,67.44"
2024-05-28_13-21-03.259115,"70.82,72.43"
2024-05-28_13-21-03.291879,"84.72,77.21"
2024-05-28_13-21-03.324607,"90.77,69.58"
2024-05-28_13-21-03.357338,"70.85,61.09"
2024-05-28_13-21-03.386057,"63.85,65.40"
2024-05-28_13-21-03.418825,"44.42,68.13"
2024-05-28_13-21-03.451598,"63.07,73.15"
2024-05-28_13-21-03.484493,"57.98,67.15"
2024-05-28_13-21-03.517144,"65.18,69.61"
2024-05-28_13-21-03.549906,"64.11,69.54"
2024-05-28_13-21-03.582588,"53.23,79.95"
2024-05-28_13-21-03.611352,"82.22,76.08"
2024-05-28_13-21-03.644121,"61.36,66.49"
2024-05-28_13-21-03.676899,"77.59,83.17"
2024-05-28_13-21-03.709695,"96.57,61.71"
2024-05-28_13-21-03.742451,"65.71,57.03"
2024-05-28_13-21-03.775155,"73.71,72.42"
2024-05-28_13-21-03.807861,"54.36,64.62"
2024-05-28_13-21-03.836642,"54.62,68.78"
2024-05-28_13-21-03.869496,"64.21,65.36"
2024-05-28_13-21-03.902182,"78.34,76.01"
2024-05-28_13-21-03.934968,"57.50,72.13"
2024-05-28_13-21-03.967767,"52.73,76.89"
2024-05-28_13-21-04.000504,"89.76,65.44"
2024-05-28_13-21-04.033131,"79.19,70.53"
2024-05-28_13-21-04.061902,"67.54,78.04"
2024-05-28_13-21-04.094716,"91.40,78.46"
2024-05-28_13-21-04.127507,"84.74,48.75"
2024-05-28_13-21-04.160234,"65.85,71.31"
2024-05-28_13-21-04.193055,"56.53,75.12"
2024-05-28_13-21-04.225679,"56.74,65.03"
2024-05-28_13-21-04.258380,"52.26,71.54"
2024-05-28_13-21-04.287207,"67.98,69.34"
2024-05-28_13-21-04.319986,"54.49,70.84"
2024-05-28_13-21-04.352720,"52.89,79.48"
2024-05-28_13-21-04.385485,"70.67,73.57"
2024-05-28_13-21-04.418263,"75.24,75.20"
2024-05-28_13-21-04.451026,"73.30,67.70"
2024-05-28_13-21-04.483737,"85.61,76.87"
2024-05-28_13-21-04.512470,"101.88,64.41"
2024-05-28_13-21-04.545239,"52.47,65.93"
2024-05-28_13-21-04.578005,"50.56,70.76"
2024-05-28_13-21-04.610798,"59.45,64.14"
2024-05-28_13-21-04.643624,"58.69,74.48"
2024-05-28_13-21-04.676342,"54.21,71.27"
2024-05-28_13-21-04.708977,"67.90,67.82"
2024-05-28_13-21-04.737741,"57.98,78.32"
2024-05-28_13-21-04.770562,"78.01,70.77"
2024-05-28_13-21-04.803312,"59.37,83.27"
2024-05-28_13-21-04.836099,"96.20,72.48"
2024-05-28_13-21-04.868908,"99.49,65.52"
2024-05-28_13-21-04.901640,"73.87,47.88"
2024-05-28_13-21-04.934471,"70.55,76.99"
2024-05-28_13-21-04.963179,"53.62,66.22"
2024-05-28_13-21-04.995864,"51.52,68.68"
2024-05-28_13-21-05.028584,"63.03,65.05"
2024-05-28_13-21-05.061384,"64.85,68.56"
2024-05-28_13-21-05.094109,"64.65,78.35"
2024-05-28_13-21-05.126965,"53.52,70.32"
2024-05-28_13-21-05.159610,"53.90,72.59"
2024-05-28_13-21-05.192292,"107.65,72.49"
2024-05-28_13-21-05.221151,"71.84,77.87"
2024-05-28_13-21-05.253929,"76.46,75.37"
2024-05-28_13-21-05.286706,"58.56,67.85"
2024-05-28_13-21-05.319555,"63.09,67.44"
2024-05-28_13-21-05.352310,"63.28,65.22"
2024-05-28_13-21-05.389019,"53.87,74.76"
2024-05-28_13-21-05.413910,"52.46,70.53"
2024-05-28_13-21-05.446485,"58.40,66.50"
2024-05-28_13-21-05.479289,"68.37,70.89"
2024-05-28_13-21-05.512003,"60.81,70.35"
2024-05-28_13-21-05.544818,"53.02,84.90"
2024-05-28_13-21-05.577527,"99.61,79.91"
2024-05-28_13-21-05.610204,"64.91,72.51"
2024-05-28_13-21-05.638941,"75.46,73.22"
2024-05-28_13-21-05.671681,"87.23,80.05"
2024-05-28_13-21-05.704451,"90.47,63.80"
2024-05-28_13-21-05.737248,"67.82,60.21"
2024-05-28_13-21-05.770039,"57.67,65.38"
2024-05-28_13-21-05.802784,"47.77,68.69"
2024-05-28_13-21-05.835486,"63.36,75.82"
2024-05-28_13-21-05.868197,"78.90,68.61"
2024-05-28_13-21-05.897028,"55.59,73.21"
2024-05-28_13-21-05.929784,"57.15,71.19"
2024-05-28_13-21-05.962499,"79.20,76.69"
2024-05-28_13-21-05.995294,"80.86,76.40"
2024-05-28_13-21-06.028068,"64.22,66.24"
2024-05-28_13-21-06.061112,"77.64,57.72"
2024-05-28_13-21-06.093521,"109.93,67.23"
2024-05-28_13-21-06.122260,"59.43,64.35"
2024-05-28_13-21-06.155023,"49.23,71.55"
2024-05-28_13-21-06.187888,"55.81,64.54"
2024-05-28_13-21-06.220619,"55.80,70.51"
2024-05-28_13-21-06.253345,"73.85,66.91"
2024-05-28_13-21-06.286120,"62.12,78.06"
