timestamp,EMG
2024-05-28_13-06-45.847720,"89.10,70.87"
2024-05-28_13-06-45.879839,"94.78,88.64"
2024-05-28_13-06-45.912654,"91.15,78.47"
2024-05-28_13-06-45.945401,"92.35,81.12"
2024-05-28_13-06-45.978285,"107.60,82.71"
2024-05-28_13-06-46.007288,"93.17,54.80"
2024-05-28_13-06-46.039978,"84.73,55.16"
2024-05-28_13-06-46.072666,"67.52,54.92"
2024-05-28_13-06-46.105343,"82.92,52.76"
2024-05-28_13-06-46.138142,"75.53,87.77"
2024-05-28_13-06-46.170947,"72.57,84.14"
2024-05-28_13-06-46.203599,"82.17,85.20"
2024-05-28_13-06-46.232494,"86.70,81.72"
2024-05-28_13-06-46.265284,"86.71,91.17"
2024-05-28_13-06-46.298289,"103.43,90.49"
2024-05-28_13-06-46.330890,"88.45,78.29"
2024-05-28_13-06-46.363658,"107.04,68.01"
2024-05-28_13-06-46.397084,"113.14,57.80"
2024-05-28_13-06-46.429412,"90.74,47.51"
2024-05-28_13-06-46.458899,"79.97,59.13"
2024-05-28_13-06-46.490946,"75.83,57.54"
2024-05-28_13-06-46.523741,"76.57,59.27"
2024-05-28_13-06-46.556629,"72.89,90.93"
2024-05-28_13-06-46.600118,"83.99,79.65"
2024-05-28_13-06-46.622039,"72.28,98.22"
2024-05-28_13-06-46.654632,"75.67,90.66"
2024-05-28_13-06-46.683474,"92.62,83.55"
2024-05-28_13-06-46.716504,"98.65,76.80"
2024-05-28_13-06-46.750744,"89.51,78.89"
2024-05-28_13-06-46.781953,"87.51,54.72"
2024-05-28_13-06-46.814706,"89.41,52.75"
2024-05-28_13-06-46.847619,"72.62,54.30"
2024-05-28_13-06-46.880224,"67.33,58.98"
2024-05-28_13-06-46.909302,"83.76,57.73"
2024-05-28_13-06-46.941849,"66.23,79.52"
2024-05-28_13-06-46.978071,"72.65,83.78"
2024-05-28_13-06-47.007436,"81.14,92.83"
2024-05-28_13-06-47.040951,"87.74,102.72"
2024-05-28_13-06-47.072946,"81.85,86.24"
2024-05-28_13-06-47.105638,"91.64,82.80"
2024-05-28_13-06-47.134512,"96.51,77.74"
2024-05-28_13-06-47.167419,"111.18,47.48"
2024-05-28_13-06-47.200082,"99.47,57.44"
2024-05-28_13-06-47.232948,"59.11,57.31"
2024-05-28_13-06-47.265814,"71.20,53.99"
2024-05-28_13-06-47.298431,"83.01,70.60"
2024-05-28_13-06-47.331191,"71.96,78.55"
2024-05-28_13-06-47.359989,"81.51,91.60"
2024-05-28_13-06-47.392867,"85.55,82.53"
2024-05-28_13-06-47.425686,"86.56,81.31"
2024-05-28_13-06-47.458428,"96.17,88.15"
2024-05-28_13-06-47.491232,"86.61,82.92"
2024-05-28_13-06-47.523948,"103.33,80.73"
2024-05-28_13-06-47.556670,"99.34,53.22"
2024-05-28_13-06-47.585538,"98.52,52.58"
2024-05-28_13-06-47.618506,"76.53,59.13"
2024-05-28_13-06-47.651151,"62.30,57.49"
2024-05-28_13-06-47.683924,"75.72,72.31"
2024-05-28_13-06-47.717054,"70.44,61.31"
2024-05-28_13-06-47.749579,"84.51,87.61"
2024-05-28_13-06-47.782255,"81.11,92.39"
2024-05-28_13-06-47.811005,"85.40,80.68"
2024-05-28_13-06-47.843825,"92.48,84.87"
2024-05-28_13-06-47.876611,"98.09,77.28"
2024-05-28_13-06-47.909400,"98.93,83.77"
2024-05-28_13-06-47.942228,"110.60,57.06"
2024-05-28_13-06-47.975044,"96.23,54.94"
2024-05-28_13-06-48.007667,"81.81,53.76"
2024-05-28_13-06-48.036523,"60.85,58.76"
2024-05-28_13-06-48.069308,"88.32,48.97"
2024-05-28_13-06-48.102113,"59.32,97.23"
2024-05-28_13-06-48.134956,"80.85,79.62"
2024-05-28_13-06-48.167729,"83.70,85.75"
2024-05-28_13-06-48.200871,"93.54,82.72"
2024-05-28_13-06-48.233238,"87.42,88.43"
2024-05-28_13-06-48.266000,"100.93,84.24"
2024-05-28_13-06-48.294843,"89.88,79.32"
2024-05-28_13-06-48.327667,"102.79,68.22"
2024-05-28_13-06-48.360422,"110.53,57.35"
2024-05-28_13-06-48.393221,"73.09,55.91"
2024-05-28_13-06-48.426076,"70.66,54.80"
2024-05-28_13-06-48.458721,"74.24,56.02"
2024-05-28_13-06-48.487517,"72.99,73.01"
2024-05-28_13-06-48.520329,"78.05,90.97"
2024-05-28_13-06-48.553249,"71.43,82.66"
2024-05-28_13-06-48.585927,"84.83,84.64"
2024-05-28_13-06-48.619790,"85.92,90.93"
2024-05-28_13-06-48.651511,"92.69,86.97"
2024-05-28_13-06-48.684236,"92.20,73.35"
2024-05-28_13-06-48.716981,"93.23,55.37"
2024-05-28_13-06-48.745790,"109.32,52.93"
2024-05-28_13-06-48.778613,"79.18,57.24"
2024-05-28_13-06-48.811429,"65.27,49.12"
2024-05-28_13-06-48.844217,"79.85,59.43"
2024-05-28_13-06-48.877203,"72.03,79.96"
2024-05-28_13-06-48.909707,"71.77,89.78"
2024-05-28_13-06-48.942483,"88.24,85.68"
2024-05-28_13-06-48.971327,"83.03,77.01"
2024-05-28_13-06-49.004091,"98.92,93.44"
2024-05-28_13-06-49.036956,"97.21,75.87"
2024-05-28_13-06-49.069732,"95.47,84.99"
2024-05-28_13-06-49.102568,"114.12,56.89"
2024-05-28_13-06-49.135232,"98.13,54.40"
2024-05-28_13-06-49.167955,"80.58,54.66"
2024-05-28_13-06-49.196827,"61.00,55.85"
2024-05-28_13-06-49.229603,"81.36,52.67"
2024-05-28_13-06-49.262423,"71.62,98.77"
2024-05-28_13-06-49.295232,"78.58,81.14"
2024-05-28_13-06-49.328098,"84.41,84.00"
2024-05-28_13-06-49.360707,"74.06,80.52"
2024-05-28_13-06-49.393437,"92.21,89.65"
2024-05-28_13-06-49.422317,"105.25,89.77"
2024-05-28_13-06-49.455074,"92.74,80.66"
2024-05-28_13-06-49.487898,"109.23,68.62"
2024-05-28_13-06-49.520718,"98.83,57.44"
2024-05-28_13-06-49.553472,"79.84,47.73"
2024-05-28_13-06-49.586294,"70.51,59.93"
2024-05-28_13-06-49.619083,"69.67,58.53"
2024-05-28_13-06-49.647782,"68.81,55.24"
2024-05-28_13-06-49.680571,"79.87,86.46"
2024-05-28_13-06-49.713431,"86.38,80.11"
2024-05-28_13-06-49.746308,"82.87,92.26"
2024-05-28_13-06-49.779046,"87.61,90.49"
2024-05-28_13-06-49.811677,"96.85,79.26"
2024-05-28_13-06-49.844465,"98.98,81.30"
2024-05-28_13-06-49.873380,"95.31,82.93"
2024-05-28_13-06-49.908811,"102.71,53.70"
2024-05-28_13-06-49.938965,"82.36,53.01"
2024-05-28_13-06-49.971682,"70.03,53.55"
2024-05-28_13-06-50.004500,"73.44,59.72"
2024-05-28_13-06-50.037347,"76.27,61.83"
2024-05-28_13-06-50.070043,"74.61,87.86"
2024-05-28_13-06-50.098739,"82.18,80.85"
2024-05-28_13-06-50.131631,"88.56,83.08"
2024-05-28_13-06-50.164574,"99.39,90.06"
2024-05-28_13-06-50.197229,"80.43,78.39"
2024-05-28_13-06-50.230033,"100.38,86.01"
2024-05-28_13-06-50.262723,"106.75,58.33"
2024-05-28_13-06-50.295462,"104.64,46.69"
2024-05-28_13-06-50.324283,"81.12,58.31"
2024-05-28_13-06-50.364265,"56.62,57.32"
2024-05-28_13-06-50.389900,"79.27,53.16"
2024-05-28_13-06-50.422698,"74.06,74.62"
2024-05-28_13-06-50.455449,"80.57,79.92"
2024-05-28_13-06-50.488201,"81.46,93.51"
2024-05-28_13-06-50.520970,"86.55,79.22"
2024-05-28_13-06-50.549863,"93.65,86.10"
2024-05-28_13-06-50.582556,"104.72,78.07"
2024-05-28_13-06-50.615351,"89.24,85.62"
2024-05-28_13-06-50.648333,"111.41,70.29"
2024-05-28_13-06-50.680967,"96.27,52.23"
2024-05-28_13-06-50.713791,"78.43,53.40"
2024-05-28_13-06-50.746443,"74.91,58.52"
2024-05-28_13-06-50.775310,"88.87,57.28"
2024-05-28_13-06-50.808057,"64.84,66.71"
2024-05-28_13-06-50.840864,"73.82,80.16"
2024-05-28_13-06-50.873668,"86.39,83.76"
2024-05-28_13-06-50.906401,"86.30,89.82"
2024-05-28_13-06-50.939269,"84.56,93.52"
2024-05-28_13-06-50.972132,"98.14,79.53"
2024-05-28_13-06-51.000865,"97.90,80.59"
2024-05-28_13-06-51.033560,"109.72,77.30"
2024-05-28_13-06-51.066404,"96.85,58.16"
2024-05-28_13-06-51.099194,"70.36,56.17"
2024-05-28_13-06-51.132017,"76.27,53.87"
2024-05-28_13-06-51.164870,"78.53,65.65"
2024-05-28_13-06-51.197583,"77.89,83.78"
2024-05-28_13-06-51.226270,"64.01,91.09"
2024-05-28_13-06-51.258999,"78.54,83.69"
2024-05-28_13-06-51.293469,"80.35,88.49"
2024-05-28_13-06-51.333418,"79.11,86.31"
2024-05-28_13-06-51.357802,"79.36,90.56"
2024-05-28_13-06-51.391005,"87.45,57.71"
2024-05-28_13-06-51.423118,"97.48,53.37"
2024-05-28_13-06-51.452259,"80.40,56.26"
2024-05-28_13-06-51.484682,"90.85,58.84"
2024-05-28_13-06-51.517798,"69.95,56.90"
2024-05-28_13-06-51.550122,"86.03,55.48"
2024-05-28_13-06-51.584307,"75.58,62.53"
2024-05-28_13-06-51.615767,"73.54,95.26"
2024-05-28_13-06-51.648540,"72.60,95.62"
2024-05-28_13-06-51.681715,"82.19,82.91"
2024-05-28_13-06-51.710030,"75.41,92.83"
2024-05-28_13-06-51.742872,"95.13,76.38"
2024-05-28_13-06-51.775584,"97.81,92.15"
2024-05-28_13-06-51.808347,"106.74,69.33"
2024-05-28_13-06-51.841172,"87.34,54.88"
2024-05-28_13-06-51.873968,"84.07,54.14"
2024-05-28_13-06-51.906665,"61.89,58.97"
2024-05-28_13-06-51.935434,"89.76,47.85"
2024-05-28_13-06-51.968225,"59.77,86.08"
2024-05-28_13-06-52.001842,"78.33,80.77"
2024-05-28_13-06-52.033890,"84.50,85.79"
2024-05-28_13-06-52.066634,"91.92,83.02"
2024-05-28_13-06-52.099449,"85.24,88.72"
2024-05-28_13-06-52.132323,"101.98,84.92"
2024-05-28_13-06-52.160900,"94.72,62.84"
2024-05-28_13-06-52.193787,"103.93,54.31"
2024-05-28_13-06-52.226555,"110.25,56.93"
2024-05-28_13-06-52.259321,"70.27,55.65"
2024-05-28_13-06-52.292127,"68.73,55.94"
2024-05-28_13-06-52.325092,"73.92,56.01"
2024-05-28_13-06-52.357599,"72.25,85.91"
2024-05-28_13-06-52.386704,"76.55,92.02"
2024-05-28_13-06-52.419221,"82.36,83.89"
2024-05-28_13-06-52.452028,"79.04,84.80"
2024-05-28_13-06-52.484886,"85.63,94.92"
2024-05-28_13-06-52.517657,"95.53,84.62"
2024-05-28_13-06-52.550329,"109.37,86.64"
2024-05-28_13-06-52.583044,"96.84,55.34"
2024-05-28_13-06-52.611837,"110.31,53.18"
2024-05-28_13-06-52.644736,"81.54,56.73"
2024-05-28_13-06-52.677475,"67.98,49.93"
2024-05-28_13-06-52.710256,"79.90,59.53"
2024-05-28_13-06-52.743093,"72.61,65.12"
2024-05-28_13-06-52.775834,"72.65,89.62"
2024-05-28_13-06-52.808568,"89.07,85.36"
2024-05-28_13-06-52.837392,"80.90,77.84"
2024-05-28_13-06-52.870210,"97.87,95.45"
2024-05-28_13-06-52.902906,"94.61,75.94"
2024-05-28_13-06-52.935760,"94.34,82.24"
