timestamp,EMG
2024-05-28_13-22-01.231148,"77.85,73.70"
2024-05-28_13-22-01.259844,"90.84,65.59"
2024-05-28_13-22-01.292650,"92.60,57.48"
2024-05-28_13-22-01.325388,"63.61,60.34"
2024-05-28_13-22-01.358168,"49.51,64.92"
2024-05-28_13-22-01.390953,"50.93,70.96"
2024-05-28_13-22-01.423674,"74.89,68.27"
2024-05-28_13-22-01.456420,"50.03,78.34"
2024-05-28_13-22-01.485482,"51.05,73.98"
2024-05-28_13-22-01.517882,"78.71,84.07"
2024-05-28_13-22-01.550638,"63.22,72.15"
2024-05-28_13-22-01.583483,"82.16,67.87"
2024-05-28_13-22-01.616232,"83.81,75.37"
2024-05-28_13-22-01.648915,"96.99,63.85"
2024-05-28_13-22-01.681720,"69.04,49.00"
2024-05-28_13-22-01.710354,"40.82,70.09"
2024-05-28_13-22-01.743168,"56.65,74.54"
2024-05-28_13-22-01.775924,"64.21,68.80"
2024-05-28_13-22-01.808646,"52.50,71.30"
2024-05-28_13-22-01.841539,"55.43,70.19"
2024-05-28_13-22-01.874302,"65.61,78.90"
2024-05-28_13-22-01.906893,"84.61,76.31"
2024-05-28_13-22-01.935638,"67.26,64.63"
2024-05-28_13-22-01.968417,"83.18,74.54"
2024-05-28_13-22-02.001147,"106.39,47.11"
2024-05-28_13-22-02.033909,"57.50,56.40"
2024-05-28_13-22-02.066710,"48.48,72.32"
2024-05-28_13-22-02.099654,"54.98,65.49"
2024-05-28_13-22-02.132144,"68.42,69.78"
2024-05-28_13-22-02.160884,"61.29,67.70"
2024-05-28_13-22-02.193748,"50.07,88.97"
2024-05-28_13-22-02.226832,"77.58,77.43"
2024-05-28_13-22-02.259634,"66.29,70.48"
2024-05-28_13-22-02.292089,"79.90,74.22"
2024-05-28_13-22-02.324720,"91.33,47.34"
2024-05-28_13-22-02.357474,"87.05,57.80"
2024-05-28_13-22-02.390275,"65.88,59.76"
2024-05-28_13-22-02.420942,"53.34,66.61"
2024-05-28_13-22-02.452141,"45.90,68.89"
2024-05-28_13-22-02.485864,"68.37,75.97"
2024-05-28_13-22-02.517285,"55.92,70.37"
2024-05-28_13-22-02.550014,"50.19,72.29"
2024-05-28_13-22-02.582689,"76.56,67.89"
2024-05-28_13-22-02.615386,"73.62,77.70"
2024-05-28_13-22-02.644129,"77.29,75.70"
2024-05-28_13-22-02.676910,"85.75,63.34"
2024-05-28_13-22-02.709684,"87.53,57.21"
2024-05-28_13-22-02.742476,"76.52,46.71"
2024-05-28_13-22-02.775207,"48.26,76.07"
2024-05-28_13-22-02.807923,"51.11,70.03"
2024-05-28_13-22-02.840622,"67.72,66.53"
2024-05-28_13-22-02.869465,"59.22,70.58"
2024-05-28_13-22-02.902181,"49.71,69.17"
2024-05-28_13-22-02.934949,"76.69,91.77"
2024-05-28_13-22-02.967692,"63.56,77.01"
2024-05-28_13-22-03.000442,"68.93,65.90"
2024-05-28_13-22-03.033173,"88.33,72.68"
2024-05-28_13-22-03.065924,"98.91,54.27"
2024-05-28_13-22-03.094656,"59.44,47.37"
2024-05-28_13-22-03.127446,"48.12,71.49"
2024-05-28_13-22-03.160192,"58.54,66.06"
2024-05-28_13-22-03.192985,"72.78,68.58"
2024-05-28_13-22-03.225716,"53.13,77.16"
2024-05-28_13-22-03.258475,"50.37,72.04"
2024-05-28_13-22-03.291120,"69.60,75.93"
2024-05-28_13-22-03.319983,"74.51,64.14"
2024-05-28_13-22-03.352776,"79.96,76.76"
2024-05-28_13-22-03.385409,"83.07,75.82"
2024-05-28_13-22-03.418224,"89.90,64.06"
2024-05-28_13-22-03.450928,"58.18,72.70"
2024-05-28_13-22-03.483672,"54.44,64.84"
2024-05-28_13-22-03.516375,"53.62,74.80"
2024-05-28_13-22-03.545131,"64.68,70.82"
2024-05-28_13-22-03.577990,"57.32,68.07"
2024-05-28_13-22-03.610783,"56.85,74.28"
2024-05-28_13-22-03.643554,"75.91,82.42"
2024-05-28_13-22-03.676242,"60.82,75.25"
2024-05-28_13-22-03.709011,"79.85,74.70"
2024-05-28_13-22-03.741717,"89.92,66.81"
2024-05-28_13-22-03.770375,"92.78,59.13"
2024-05-28_13-22-03.803149,"50.15,63.18"
2024-05-28_13-22-03.835968,"51.99,65.56"
2024-05-28_13-22-03.868712,"50.87,69.32"
2024-05-28_13-22-03.901428,"77.70,66.73"
2024-05-28_13-22-03.934233,"50.49,70.27"
2024-05-28_13-22-03.966937,"50.82,79.48"
2024-05-28_13-22-03.995692,"71.70,67.27"
2024-05-28_13-22-04.028414,"77.67,75.65"
2024-05-28_13-22-04.061183,"80.01,67.37"
2024-05-28_13-22-04.093987,"93.75,60.12"
2024-05-28_13-22-04.126796,"86.33,41.34"
2024-05-28_13-22-04.159466,"58.78,65.59"
2024-05-28_13-22-04.192190,"49.21,70.30"
2024-05-28_13-22-04.220912,"57.18,64.96"
