timestamp,frame_id
2024-08-07_21-24-32.834781,1
2024-08-07_21-24-32.866432,2
2024-08-07_21-24-32.899624,3
2024-08-07_21-24-32.933959,4
2024-08-07_21-24-32.966146,5
2024-08-07_21-24-32.999771,6
2024-08-07_21-24-33.033053,7
2024-08-07_21-24-33.066953,8
2024-08-07_21-24-33.101528,9
2024-08-07_21-24-33.133719,10
2024-08-07_21-24-33.166933,11
2024-08-07_21-24-33.200502,12
2024-08-07_21-24-33.233519,13
2024-08-07_21-24-33.267298,14
2024-08-07_21-24-33.300210,15
2024-08-07_21-24-33.334356,16
2024-08-07_21-24-33.366442,17
2024-08-07_21-24-33.401398,18
2024-08-07_21-24-33.433643,19
2024-08-07_21-24-33.466843,20
2024-08-07_21-24-33.499940,21
2024-08-07_21-24-33.535563,22
2024-08-07_21-24-33.566683,23
2024-08-07_21-24-33.600827,24
2024-08-07_21-24-33.633621,25
2024-08-07_21-24-33.666824,26
2024-08-07_21-24-33.699790,27
2024-08-07_21-24-33.733347,28
2024-08-07_21-24-33.766447,29
2024-08-07_21-24-33.799762,30
2024-08-07_21-24-33.833621,31
2024-08-07_21-24-33.866773,32
2024-08-07_21-24-33.900212,33
2024-08-07_21-24-33.933552,34
2024-08-07_21-24-33.966621,35
2024-08-07_21-24-34.001194,36
2024-08-07_21-24-34.033548,37
2024-08-07_21-24-34.066358,38
2024-08-07_21-24-34.099698,39
2024-08-07_21-24-34.132760,40
2024-08-07_21-24-34.166926,41
2024-08-07_21-24-34.199741,42
2024-08-07_21-24-34.233956,43
2024-08-07_21-24-34.266518,44
2024-08-07_21-24-34.300489,45
2024-08-07_21-24-34.333621,46
2024-08-07_21-24-34.366338,47
2024-08-07_21-24-34.400075,48
2024-08-07_21-24-34.432828,49
2024-08-07_21-24-34.467001,50
2024-08-07_21-24-34.500638,51
2024-08-07_21-24-34.538651,52
2024-08-07_21-24-34.570916,53
2024-08-07_21-24-34.601561,54
2024-08-07_21-24-34.633336,55
2024-08-07_21-24-34.666473,56
2024-08-07_21-24-34.699567,57
2024-08-07_21-24-34.733541,58
2024-08-07_21-24-34.766516,59
2024-08-07_21-24-34.800018,60
2024-08-07_21-24-34.833363,61
2024-08-07_21-24-34.867994,62
2024-08-07_21-24-34.900548,63
2024-08-07_21-24-34.933138,64
2024-08-07_21-24-34.966128,65
2024-08-07_21-24-34.999864,66
2024-08-07_21-24-35.038897,67
2024-08-07_21-24-35.070901,68
2024-08-07_21-24-35.102180,69
2024-08-07_21-24-35.135361,70
2024-08-07_21-24-35.167422,71
2024-08-07_21-24-35.200673,72
2024-08-07_21-24-35.232893,73
2024-08-07_21-24-35.266313,74
2024-08-07_21-24-35.299833,75
2024-08-07_21-24-35.338900,76
2024-08-07_21-24-35.370981,77
2024-08-07_21-24-35.403518,78
2024-08-07_21-24-35.434733,79
2024-08-07_21-24-35.467004,80
2024-08-07_21-24-35.500083,81
2024-08-07_21-24-35.539371,82
2024-08-07_21-24-35.570591,83
2024-08-07_21-24-35.601883,84
2024-08-07_21-24-35.635265,85
2024-08-07_21-24-35.669997,86
2024-08-07_21-24-35.701540,87
2024-08-07_21-24-35.733234,88
2024-08-07_21-24-35.766438,89
2024-08-07_21-24-35.801591,90
2024-08-07_21-24-35.831403,91
2024-08-07_21-24-35.864254,92
2024-08-07_21-24-35.897678,93
2024-08-07_21-24-35.931035,94
2024-08-07_21-24-35.964374,95
