timestamp,frame_id
2024-08-07_21-23-18.783738,1
2024-08-07_21-23-18.817267,2
2024-08-07_21-23-18.855974,3
2024-08-07_21-23-18.887818,4
2024-08-07_21-23-18.919307,5
2024-08-07_21-23-18.950779,6
2024-08-07_21-23-18.983588,7
2024-08-07_21-23-19.017014,8
2024-08-07_21-23-19.049821,9
2024-08-07_21-23-19.083326,10
2024-08-07_21-23-19.117070,11
2024-08-07_21-23-19.151917,12
2024-08-07_21-23-19.182260,13
2024-08-07_21-23-19.215931,14
2024-08-07_21-23-19.251113,15
2024-08-07_21-23-19.284705,16
2024-08-07_21-23-19.316389,17
2024-08-07_21-23-19.349960,18
2024-08-07_21-23-19.383506,19
2024-08-07_21-23-19.417475,20
2024-08-07_21-23-19.450693,21
2024-08-07_21-23-19.483662,22
2024-08-07_21-23-19.517216,23
2024-08-07_21-23-19.550126,24
2024-08-07_21-23-19.583255,25
2024-08-07_21-23-19.617225,26
2024-08-07_21-23-19.650312,27
2024-08-07_21-23-19.683418,28
2024-08-07_21-23-19.716441,29
2024-08-07_21-23-19.749817,30
2024-08-07_21-23-19.783865,31
2024-08-07_21-23-19.816452,32
2024-08-07_21-23-19.849772,33
2024-08-07_21-23-19.883134,34
2024-08-07_21-23-19.916505,35
2024-08-07_21-23-19.949811,36
2024-08-07_21-23-19.982965,37
2024-08-07_21-23-20.016611,38
2024-08-07_21-23-20.049758,39
2024-08-07_21-23-20.083223,40
2024-08-07_21-23-20.116829,41
2024-08-07_21-23-20.150073,42
2024-08-07_21-23-20.183670,43
2024-08-07_21-23-20.216027,44
2024-08-07_21-23-20.249111,45
2024-08-07_21-23-20.283510,46
2024-08-07_21-23-20.316820,47
2024-08-07_21-23-20.351069,48
2024-08-07_21-23-20.383182,49
2024-08-07_21-23-20.417550,50
2024-08-07_21-23-20.452053,51
2024-08-07_21-23-20.483096,52
2024-08-07_21-23-20.516418,53
2024-08-07_21-23-20.549648,54
2024-08-07_21-23-20.582470,55
2024-08-07_21-23-20.619840,56
2024-08-07_21-23-20.649621,57
2024-08-07_21-23-20.682821,58
2024-08-07_21-23-20.716265,59
2024-08-07_21-23-20.749909,60
2024-08-07_21-23-20.782598,61
2024-08-07_21-23-20.816739,62
2024-08-07_21-23-20.849195,63
2024-08-07_21-23-20.883460,64
2024-08-07_21-23-20.916071,65
2024-08-07_21-23-20.949849,66
2024-08-07_21-23-20.982976,67
2024-08-07_21-23-21.015998,68
2024-08-07_21-23-21.048874,69
2024-08-07_21-23-21.082684,70
2024-08-07_21-23-21.115882,71
2024-08-07_21-23-21.149668,72
2024-08-07_21-23-21.182452,73
2024-08-07_21-23-21.217320,74
2024-08-07_21-23-21.249076,75
2024-08-07_21-23-21.282990,76
2024-08-07_21-23-21.316020,77
2024-08-07_21-23-21.349094,78
2024-08-07_21-23-21.382184,79
2024-08-07_21-23-21.417015,80
2024-08-07_21-23-21.449727,81
2024-08-07_21-23-21.482811,82
2024-08-07_21-23-21.515818,83
2024-08-07_21-23-21.549313,84
2024-08-07_21-23-21.582610,85
2024-08-07_21-23-21.616309,86
2024-08-07_21-23-21.650436,87
2024-08-07_21-23-21.682955,88
2024-08-07_21-23-21.716786,89
2024-08-07_21-23-21.749586,90
2024-08-07_21-23-21.782797,91
2024-08-07_21-23-21.815868,92
2024-08-07_21-23-21.849295,93
2024-08-07_21-23-21.882839,94
